"        $100,000 to $149,999","1,032,605","37,068","109,198","106,637","113,359","29,002"
"        $150,000 to $199,999","464,067","11,540","48,495","61,122","50,490","14,567"
"        $200,000 or more","550,699","8,477","53,472","139,322","33,764","11,751"
"        Median household income (dollars)","58,878","33,712","47,966","76,089","57,241","71,121"
"        Mean household income (dollars)","86,563","48,932","72,721","134,778","74,690","88,730"
"    With earnings","5,628,770","358,339","737,118","604,423","636,117","125,695"
"        Mean earnings (dollars)","91,451","54,354","80,499","145,182","78,338","94,648"
"    With Social Security","2,173,415","119,932","218,128","175,599","209,773","54,492"
"        Mean Social Security income (dollars)","18,014","14,125","14,595","17,208","16,783","18,611"
"    With retirement income","1,291,882","53,756","99,122","80,131","110,208","30,205"
"        Mean retirement income (dollars)","25,870","22,555","21,848","28,288","23,055","30,371"
"    With Supplemental Security Income","463,282","63,621","86,468","50,461","44,140","7,847"
"        Mean Supplemental Security Income (dollars)","9,334","8,808","9,153","8,961","9,083","9,608"
"    With cash public assistance income","250,683","36,705","45,711","21,417","26,748","5,993"
"        Mean cash public assistance income (dollars)","3,613","3,384","3,647","2,850","3,282","4,398"
"    With Food Stamp/SNAP benefits in the past 12 months","1,135,978","183,082","223,360","102,760","110,767","23,470"
"    Families","4,621,954","325,570","587,222","323,217","530,480","121,343"
"        Less than $10,000","236,147","40,736","43,822","21,555","24,019","6,613"
"        $10,000 to $14,999","157,084","26,682","32,638","10,613","18,064","3,506"
"        $15,000 to $24,999","359,190","48,651","69,440","26,054","49,291","8,430"
"        $25,000 to $34,999","361,814","38,502","55,124","21,398","45,420","8,444"
"        $35,000 to $49,999","530,208","45,349","75,113","30,405","68,304","10,692"
"        $50,000 to $74,999","774,112","49,486","93,868","33,195","100,896","19,057"
"        $75,000 to $99,999","608,328","31,414","65,842","26,683","73,338","17,343"
"        $100,000 to $149,999","779,229","26,994","73,111","41,396","83,380","24,291"
"        $150,000 to $199,999","368,691","10,422","35,661","25,196","40,382","13,177"
"        $200,000 or more","447,151","7,334","42,603","86,722","27,386","9,790"
"        Median family income (dollars)","71,115","37,041","54,206","90,457","63,896","80,937"
"        Mean family income (dollars)","101,025","53,901","81,759","179,175","82,165","99,236"
"    Per capita income (dollars)","33,095","18,158","27,059","64,618","26,572","31,611"
"    Nonfamily households","2,660,444","166,911","355,180","439,011","255,505","43,628"
"        Median nonfamily income (dollars)","37,063","21,911","35,963","66,582","40,616","35,517"
"        Mean nonfamily income (dollars)","57,811","35,343","54,338","100,983","53,464","53,301"
"    Median earnings for workers (dollars)","34,308","25,367","32,372","52,858","32,015","41,022"
"    Median earnings for male full-time, year-round workers (dollars)","51,580","35,831","47,264","82,074","42,415","62,384"
"    Median earnings for female full-time, year-round workers (dollars)","44,781","36,191","42,090","66,451","41,774","50,059"
"HEALTH INSURANCE COVERAGE","","","","","",""
"    Civilian noninstitutionalized population","19,499,548","1,416,359","2,610,676","1,625,401","2,306,695","469,283"
"        With health insurance coverage","17,802,989","1,227,245","2,322,979","1,502,232","1,974,851","438,302"
"            With private health insurance","12,771,678","601,029","1,356,824","1,117,331","1,257,004","327,001"
"            With public coverage","7,187,276","759,031","1,152,182","517,614","888,734","158,511"
"        No health insurance coverage","1,696,559","189,114","287,697","123,169","331,844","30,981"
"    Civilian noninstitutionalized population under 18 years","4,217,078","365,949","610,855","240,506","472,630","105,139"
"        No health insurance coverage","137,525","12,280","20,031","4,647","19,662","3,540"
"    Civilian noninstitutionalized population 18 to 64 years","12,485,670","897,917","1,687,903","1,155,382","1,528,341","298,543"
"        In labor force:","9,479,719","627,102","1,257,671","892,451","1,157,139","211,758"
"            Employed:","8,796,541","553,297","1,149,810","834,244","1,068,573","198,775"
"                With health insurance coverage","7,782,985","442,782","981,784","762,618","859,784","181,599"
"                    With private health insurance","6,826,570","317,975","783,799","693,922","706,814","165,950"
"                    With public coverage","1,135,552","146,669","221,972","80,758","169,299","18,111"
"                No health insurance coverage","1,013,556","110,515","168,026","71,626","208,789","17,176"
"            Unemployed:","683,178","73,805","107,861","58,207","88,566","12,983"
"                With health insurance coverage","529,114","56,992","80,456","44,743","62,717","10,642"
"                    With private health insurance","277,271","18,915","34,259","24,260","28,141","6,325"
"                    With public coverage","274,706","42,738","49,721","21,222","36,234","4,836"
"                No health insurance coverage","154,064","16,813","27,405","13,464","25,849","2,341"
"        Not in labor force:","3,005,951","270,815","430,232","262,931","371,202","86,785"
"            With health insurance coverage","2,641,657","223,949","363,606","231,591","300,993","79,226"
"                With private health insurance","1,496,643","69,705","153,544","136,308","150,723","49,618"
"                With public coverage","1,356,390","171,831","236,200","107,355","167,819","36,924"
"            No health insurance coverage","364,294","46,866","66,626","31,340","70,209","7,559"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","","","","","",""
"    All families","(X)","(X)","(X)","(X)","(X)","(X)"
"        With related children under 18 years","(X)","(X)","(X)","(X)","(X)","(X)"
"            With related children under 5 years only","(X)","(X)","(X)","(X)","(X)","(X)"
"    Married couple families","(X)","(X)","(X)","(X)","(X)","(X)"
"        With related children under 18 years","(X)","(X)","(X)","(X)","(X)","(X)"
"            With related children under 5 years only","(X)","(X)","(X)","(X)","(X)","(X)"
"    Families with female householder, no husband present","(X)","(X)","(X)","(X)","(X)","(X)"
"        With related children under 18 years","(X)","(X)","(X)","(X)","(X)","(X)"
"            With related children under 5 years only","(X)","(X)","(X)","(X)","(X)","(X)"
"    All people","(X)","(X)","(X)","(X)","(X)","(X)"
"    Under 18 years","(X)","(X)","(X)","(X)","(X)","(X)"
"        Related children under 18 years","(X)","(X)","(X)","(X)","(X)","(X)"
"            Related children under 5 years","(X)","(X)","(X)","(X)","(X)","(X)"
"            Related children 5 to 17 years","(X)","(X)","(X)","(X)","(X)","(X)"
"    18 years and over","(X)","(X)","(X)","(X)","(X)","(X)"
"    18 to 64 years","(X)","(X)","(X)","(X)","(X)","(X)"
"    65 years and over","(X)","(X)","(X)","(X)","(X)","(X)"
"        People in families","(X)","(X)","(X)","(X)","(X)","(X)"
"        Unrelated individuals 15 years and over","(X)","(X)","(X)","(X)","(X)","(X)"
