"        $100,000 to $149,999","1,078,895","44,997","129,803","99,017","117,846","32,453"
"        $150,000 to $199,999","521,545","14,302","59,452","63,014","55,355","15,711"
"        $200,000 or more","646,674","9,872","70,434","151,608","43,822","15,280"
"        Median household income (dollars)","62,909","37,525","55,150","77,559","62,207","77,197"
"        Mean household income (dollars)","93,373","53,466","83,115","143,741","81,379","95,481"
"    With earnings","5,573,763","375,656","743,574","593,556","615,665","122,318"
"        Mean earnings (dollars)","98,405","58,777","91,048","156,910","85,132","103,286"
"    With Social Security","2,236,029","130,099","228,615","175,401","214,554","52,903"
"        Mean Social Security income (dollars)","18,792","14,152","15,695","17,676","17,318","20,033"
"    With retirement income","1,338,106","59,644","110,370","79,615","107,091","33,330"
"        Mean retirement income (dollars)","27,317","18,656","23,742","29,411","24,920","34,508"
"    With Supplemental Security Income","456,931","62,135","83,723","46,229","41,972","8,239"
"        Mean Supplemental Security Income (dollars)","9,415","8,800","9,162","9,195","8,727","9,826"
"    With cash public assistance income","243,679","37,247","45,928","22,348","24,366","8,002"
"        Mean cash public assistance income (dollars)","3,548","3,353","3,736","3,464","3,654","3,061"
"    With Food Stamp/SNAP benefits in the past 12 months","1,080,612","177,876","220,689","99,164","98,934","17,859"
"    Families","4,541,583","331,774","575,987","315,379","505,823","121,766"
"        Less than $10,000","201,893","33,155","34,553","17,571","20,795","6,740"
"        $10,000 to $14,999","140,826","23,312","28,654","12,765","15,010","2,353"
"        $15,000 to $24,999","311,096","44,793","58,476","23,029","38,416","5,477"
"        $25,000 to $34,999","342,373","36,537","53,240","22,097","47,960","7,307"
"        $35,000 to $49,999","484,097","49,329","66,989","23,079","61,731","8,884"
"        $50,000 to $74,999","721,229","56,706","88,527","33,970","84,464","17,072"
"        $75,000 to $99,999","601,241","31,842","68,847","25,893","71,042","17,829"
"        $100,000 to $149,999","810,511","36,737","84,984","36,021","89,748","27,534"
"        $150,000 to $199,999","410,779","11,710","40,078","28,442","41,741","14,208"
"        $200,000 or more","517,538","7,653","51,639","92,512","34,916","14,362"
"        Median family income (dollars)","77,379","42,602","61,989","99,195","70,538","93,093"
"        Mean family income (dollars)","109,325","59,196","92,770","195,026","89,303","110,238"
"    Per capita income (dollars)","35,534","19,369","30,526","68,126","28,609","33,559"
"    Nonfamily households","2,667,471","166,765","365,884","432,914","255,996","42,523"
"        Median nonfamily income (dollars)","39,313","23,673","41,030","67,843","42,671","34,500"
"        Mean nonfamily income (dollars)","62,064","36,561","62,717","104,969","59,597","47,645"
"    Median earnings for workers (dollars)","36,263","26,278","35,805","56,579","35,207","46,347"
"    Median earnings for male full-time, year-round workers (dollars)","53,124","36,582","50,962","84,603","46,822","63,561"
"    Median earnings for female full-time, year-round workers (dollars)","47,358","36,942","47,498","71,618","44,644","51,924"
"HEALTH INSURANCE COVERAGE","","","","","",""
"    Civilian noninstitutionalized population","19,505,596","1,435,711","2,616,844","1,632,854","2,317,082","471,996"
"        With health insurance coverage","18,322,902","1,314,152","2,414,030","1,549,095","2,082,701","450,778"
"            With private health insurance","12,993,086","645,119","1,422,826","1,105,893","1,334,381","342,952"
"            With public coverage","7,653,948","810,502","1,198,747","569,274","939,385","155,454"
"        No health insurance coverage","1,182,694","121,559","202,814","83,759","234,381","21,218"
"    Civilian noninstitutionalized population under 18 years","4,170,786","367,900","609,060","240,579","476,209","104,843"
"        No health insurance coverage","101,066","5,505","13,841","2,783","12,314","1,539"
"    Civilian noninstitutionalized population 18 to 64 years","12,399,261","906,348","1,680,990","1,152,498","1,518,877","296,434"
"        In labor force:","9,448,758","649,831","1,270,165","893,732","1,166,723","208,861"
"            Employed:","8,890,089","584,989","1,180,061","844,491","1,097,104","198,355"
"                With health insurance coverage","8,173,680","510,167","1,055,539","795,104","945,825","187,844"
"                    With private health insurance","7,004,389","349,568","830,894","699,310","763,921","173,065"
"                    With public coverage","1,394,713","186,656","254,951","107,584","206,807","18,033"
"                No health insurance coverage","716,409","74,822","124,522","49,387","151,279","10,511"
"            Unemployed:","558,669","64,842","90,104","49,241","69,619","10,506"
"                With health insurance coverage","469,816","54,840","75,777","39,972","55,680","9,589"
"                    With private health insurance","223,633","15,693","30,116","17,480","24,838","6,498"
"                    With public coverage","270,208","42,538","50,259","24,534","33,077","3,534"
"                No health insurance coverage","88,853","10,002","14,327","9,269","13,939","917"
"        Not in labor force:","2,950,503","256,517","410,825","258,766","352,154","87,573"
"            With health insurance coverage","2,698,691","227,812","365,253","238,269","301,542","80,114"
"                With private health insurance","1,509,489","74,758","154,458","134,818","149,918","52,871"
"                With public coverage","1,417,910","174,038","238,098","114,009","169,197","33,609"
"            No health insurance coverage","251,812","28,705","45,572","20,497","50,612","7,459"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","","","","","",""
"    All families","(X)","(X)","(X)","(X)","(X)","(X)"
"        With related children of the householder under 18 years","(X)","(X)","(X)","(X)","(X)","(X)"
"            With related children of the householder under 5 years only","(X)","(X)","(X)","(X)","(X)","(X)"
"    Married couple families","(X)","(X)","(X)","(X)","(X)","(X)"
"        With related children of the householder under 18 years","(X)","(X)","(X)","(X)","(X)","(X)"
"            With related children of the householder under 5 years only","(X)","(X)","(X)","(X)","(X)","(X)"
"    Families with female householder, no husband present","(X)","(X)","(X)","(X)","(X)","(X)"
"        With related children of the householder under 18 years","(X)","(X)","(X)","(X)","(X)","(X)"
"            With related children of the householder under 5 years only","(X)","(X)","(X)","(X)","(X)","(X)"
"    All people","(X)","(X)","(X)","(X)","(X)","(X)"
"        Under 18 years","(X)","(X)","(X)","(X)","(X)","(X)"
"            Related children of the householder under 18 years","(X)","(X)","(X)","(X)","(X)","(X)"
"                Related children of the householder under 5 years","(X)","(X)","(X)","(X)","(X)","(X)"
"                Related children of the householder 5 to 17 years","(X)","(X)","(X)","(X)","(X)","(X)"
"        18 years and over","(X)","(X)","(X)","(X)","(X)","(X)"
"            18 to 64 years","(X)","(X)","(X)","(X)","(X)","(X)"
"            65 years and over","(X)","(X)","(X)","(X)","(X)","(X)"
"    People in families","(X)","(X)","(X)","(X)","(X)","(X)"
"    Unrelated individuals 15 years and over","(X)","(X)","(X)","(X)","(X)","(X)"
