"        $100,000 to $149,999","1,198,214","51,320","144,446","107,512","139,360","34,952"
"        $150,000 to $199,999","634,178","19,726","80,364","70,185","74,174","18,741"
"        $200,000 or more","901,536","16,758","111,304","192,633","72,801","22,941"
"        Median household income (dollars)","72,108","41,432","66,937","93,651","73,696","89,821"
"        Mean household income (dollars)","107,355","59,664","99,472","170,453","96,631","113,245"
"        With earnings","5,721,482","367,881","775,688","601,723","626,694","131,109"
"            Mean earnings (dollars)","112,517","68,225","108,171","183,177","100,973","114,993"
"        With Social Security","2,371,482","138,939","251,193","187,110","238,370","56,804"
"            Mean Social Security income (dollars)","19,767","14,953","16,754","18,641","18,046","21,503"
"        With retirement income","1,827,258","80,980","152,482","124,274","163,092","48,103"
"            Mean retirement income (dollars)","30,839","24,004","27,337","39,745","26,964","33,919"
"        With Supplemental Security Income","469,657","64,127","75,135","50,496","43,596","10,157"
"            Mean Supplemental Security Income (dollars)","9,629","8,779","9,254","8,908","9,354","10,366"
"        With cash public assistance income","259,459","38,969","51,210","26,611","25,890","5,167"
"            Mean cash public assistance income (dollars)","3,484","3,360","3,986","2,861","3,415","2,973"
"        With Food Stamp/SNAP benefits in the past 12 months","1,049,322","177,577","204,394","96,942","98,201","19,775"
"    Families","4,636,356","311,284","606,916","318,351","530,505","120,238"
"        Less than $10,000","170,722","31,777","30,232","12,659","16,096","1,585"
"        $10,000 to $14,999","110,699","16,565","20,698","10,263","11,046","2,513"
"        $15,000 to $24,999","253,919","32,731","49,608","17,057","28,564","5,226"
"        $25,000 to $34,999","276,856","27,366","48,187","16,231","38,831","4,224"
"        $35,000 to $49,999","447,200","43,704","64,272","23,887","57,919","10,917"
"        $50,000 to $74,999","705,772","59,557","92,216","30,131","90,028","17,455"
"        $75,000 to $99,999","593,316","34,174","70,429","25,915","70,604","13,310"
"        $100,000 to $149,999","869,315","38,783","94,954","39,492","102,275","28,256"
"        $150,000 to $199,999","492,040","14,258","55,330","28,819","56,415","16,477"
"        $200,000 or more","716,517","12,369","80,990","113,897","58,727","20,275"
"        Median family income (dollars)","89,475","50,835","74,422","126,690","82,534","105,438"
"        Mean family income (dollars)","126,612","68,747","110,664","233,184","105,587","129,701"
"    Per capita income (dollars)","41,857","22,647","37,352","82,720","34,377","39,743"
"    Nonfamily households","2,810,456","202,606","371,175","449,852","254,047","46,059"
"        Median nonfamily income (dollars)","44,681","24,294","50,372","77,491","49,538","44,796"
"        Mean nonfamily income (dollars)","70,514","40,536","74,756","124,054","69,303","63,809"
"    Median earnings for workers (dollars)","41,492","30,670","42,475","64,496","40,546","48,869"
"    Median earnings for male full-time, year-round workers (dollars)","60,686","41,858","60,084","96,234","51,560","66,580"
"    Median earnings for female full-time, year-round workers (dollars)","51,927","41,120","52,591","79,285","50,199","60,944"
"HEALTH INSURANCE COVERAGE","","","","","",""
"    Civilian noninstitutionalized population","19,212,803","1,396,715","2,543,955","1,617,544","2,238,572","472,408"
"        With health insurance coverage","18,206,275","1,285,783","2,384,676","1,545,076","2,029,999","453,381"
"            With private health insurance","12,969,940","639,053","1,418,815","1,169,872","1,322,672","341,257"
"            With public coverage","7,610,922","781,167","1,154,282","523,758","909,955","163,048"
"        No health insurance coverage","1,006,528","110,932","159,279","72,468","208,573","19,027"
"    Civilian noninstitutionalized population under 19 years","4,264,419","366,267","603,136","248,106","471,998","108,280"
"        No health insurance coverage","100,795","8,351","9,347","4,996","11,631","2,011"
"    Civilian noninstitutionalized population 19 to 64 years","11,747,956","851,345","1,582,580","1,098,886","1,408,984","287,046"
"        In labor force:","9,232,912","623,897","1,228,775","890,350","1,115,463","219,992"
"            Employed:","8,837,878","568,514","1,174,459","853,546","1,064,962","211,772"
"                With health insurance coverage","8,203,320","501,832","1,069,322","807,282","927,022","200,275"
"                    With private health insurance","7,080,495","363,727","863,819","735,475","753,893","178,062"
"                    With public coverage","1,343,056","163,576","230,951","82,774","194,739","25,221"
"                No health insurance coverage","634,558","66,682","105,137","46,264","137,940","11,497"
"            Unemployed:","395,034","55,383","54,316","36,804","50,501","8,220"
"                With health insurance coverage","339,955","46,825","46,223","33,538","40,999","6,397"
"                    With private health insurance","168,141","14,616","20,511","16,998","19,714","3,993"
"                    With public coverage","189,293","36,268","28,601","17,253","22,364","2,581"
"                No health insurance coverage","55,079","8,558","8,093","3,266","9,502","1,823"
"        Not in labor force:","2,515,044","227,448","353,805","208,536","293,521","67,054"
"            With health insurance coverage","2,324,329","202,989","321,272","192,970","252,058","63,503"
"                With private health insurance","1,243,001","58,548","124,714","112,149","124,525","40,972"
"                With public coverage","1,277,943","162,612","212,520","93,048","142,175","26,937"
"            No health insurance coverage","190,715","24,459","32,533","15,566","41,463","3,551"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","","","","","",""
"    All families","(X)","(X)","(X)","(X)","(X)","(X)"
"        With related children of the householder under 18 years","(X)","(X)","(X)","(X)","(X)","(X)"
"            With related children of the householder under 5 years only","(X)","(X)","(X)","(X)","(X)","(X)"
"        Married couple families","(X)","(X)","(X)","(X)","(X)","(X)"
"            With related children of the householder under 18 years","(X)","(X)","(X)","(X)","(X)","(X)"
"                With related children of the householder under 5 years only","(X)","(X)","(X)","(X)","(X)","(X)"
"        Families with female householder, no spouse present","(X)","(X)","(X)","(X)","(X)","(X)"
"            With related children of the householder under 18 years","(X)","(X)","(X)","(X)","(X)","(X)"
"                With related children of the householder under 5 years only","(X)","(X)","(X)","(X)","(X)","(X)"
"    All people","(X)","(X)","(X)","(X)","(X)","(X)"
"        Under 18 years","(X)","(X)","(X)","(X)","(X)","(X)"
"            Related children of the householder under 18 years","(X)","(X)","(X)","(X)","(X)","(X)"
"                Related children of the householder under 5 years","(X)","(X)","(X)","(X)","(X)","(X)"
"                Related children of the householder 5 to 17 years","(X)","(X)","(X)","(X)","(X)","(X)"
"        18 years and over","(X)","(X)","(X)","(X)","(X)","(X)"
"            18 to 64 years","(X)","(X)","(X)","(X)","(X)","(X)"
"            65 years and over","(X)","(X)","(X)","(X)","(X)","(X)"
"        People in families","(X)","(X)","(X)","(X)","(X)","(X)"
"        Unrelated individuals 15 years and over","(X)","(X)","(X)","(X)","(X)","(X)"
