"        Public administration","449,885","4.8%","22,624","3.8%","47,753","3.9%","23,998","2.7%","49,523","4.4%","14,429","6.6%"
"CLASS OF WORKER","","","","","","","","","","","",""
"    Civilian employed population 16 years and over","9,438,639","9,438,639","591,083","591,083","1,216,982","1,216,982","894,171","894,171","1,120,366","1,120,366","217,404","217,404"
"        Private wage and salary workers","7,395,309","78.4%","470,244","79.6%","962,415","79.1%","749,192","83.8%","890,599","79.5%","161,700","74.4%"
"        Government workers","1,495,186","15.8%","88,708","15.0%","174,449","14.3%","79,485","8.9%","159,529","14.2%","46,832","21.5%"
"        Self-employed in own not incorporated business workers","534,077","5.7%","31,488","5.3%","78,277","6.4%","64,212","7.2%","69,006","6.2%","8,761","4.0%"
"        Unpaid family workers","14,067","0.1%","643","0.1%","1,841","0.2%","1,282","0.1%","1,232","0.1%","111","0.1%"
"INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Total households","7,417,224","7,417,224","510,135","510,135","972,314","972,314","758,720","758,720","783,362","783,362","167,160","167,160"
"        Less than $10,000","471,680","6.4%","65,374","12.8%","82,436","8.5%","63,224","8.3%","42,133","5.4%","10,229","6.1%"
"        $10,000 to $14,999","340,614","4.6%","45,784","9.0%","58,641","6.0%","38,407","5.1%","29,699","3.8%","6,103","3.7%"
"        $15,000 to $24,999","601,926","8.1%","62,455","12.2%","87,350","9.0%","51,899","6.8%","60,202","7.7%","9,951","6.0%"
"        $25,000 to $34,999","560,412","7.6%","48,819","9.6%","76,274","7.8%","42,734","5.6%","61,305","7.8%","9,796","5.9%"
"        $35,000 to $49,999","770,616","10.4%","65,057","12.8%","99,888","10.3%","54,411","7.2%","84,473","10.8%","14,757","8.8%"
"        $50,000 to $74,999","1,118,036","15.1%","79,896","15.7%","136,412","14.0%","83,499","11.0%","127,414","16.3%","23,800","14.2%"
"        $75,000 to $99,999","887,731","12.0%","50,848","10.0%","109,989","11.3%","70,937","9.3%","104,471","13.3%","19,762","11.8%"
"        $100,000 to $149,999","1,188,982","16.0%","54,633","10.7%","139,932","14.4%","107,694","14.2%","137,192","17.5%","32,429","19.4%"
"        $150,000 to $199,999","623,359","8.4%","20,474","4.0%","78,002","8.0%","68,384","9.0%","68,673","8.8%","19,557","11.7%"
"        $200,000 or more","853,868","11.5%","16,795","3.3%","103,390","10.6%","177,531","23.4%","67,800","8.7%","20,776","12.4%"
"        Median household income (dollars)","71,117","(X)","41,895","(X)","63,973","(X)","89,812","(X)","72,028","(X)","85,381","(X)"
"        Mean household income (dollars)","105,304","(X)","61,266","(X)","96,572","(X)","163,997","(X)","94,363","(X)","107,742","(X)"
"        With earnings","5,732,196","77.3%","375,223","73.6%","768,439","79.0%","595,488","78.5%","633,288","80.8%","128,458","76.8%"
"            Mean earnings (dollars)","110,284","(X)","68,172","(X)","105,113","(X)","176,624","(X)","97,784","(X)","112,307","(X)"
"        With Social Security","2,346,085","31.6%","139,854","27.4%","245,061","25.2%","188,463","24.8%","229,294","29.3%","57,373","34.3%"
"            Mean Social Security income (dollars)","20,171","(X)","15,464","(X)","17,229","(X)","19,076","(X)","18,629","(X)","21,105","(X)"
"        With retirement income","1,569,471","21.2%","71,954","14.1%","134,595","13.8%","100,863","13.3%","134,736","17.2%","40,514","24.2%"
"            Mean retirement income (dollars)","30,326","(X)","23,257","(X)","26,602","(X)","36,875","(X)","28,711","(X)","34,957","(X)"
"        With Supplemental Security Income","456,620","6.2%","61,613","12.1%","80,518","8.3%","45,807","6.0%","42,728","5.5%","9,698","5.8%"
"            Mean Supplemental Security Income (dollars)","9,826","(X)","8,985","(X)","9,517","(X)","8,996","(X)","9,488","(X)","10,816","(X)"
"        With cash public assistance income","256,916","3.5%","40,195","7.9%","49,373","5.1%","24,124","3.2%","27,713","3.5%","7,038","4.2%"
"            Mean cash public assistance income (dollars)","3,785","(X)","3,442","(X)","3,883","(X)","4,093","(X)","3,823","(X)","4,911","(X)"
"        With Food Stamp/SNAP benefits in the past 12 months","1,057,725","14.3%","179,464","35.2%","211,364","21.7%","97,866","12.9%","99,374","12.7%","18,965","11.3%"
"    Families","4,670,153","4,670,153","329,504","329,504","594,423","594,423","325,483","325,483","530,194","530,194","123,026","123,026"
"        Less than $10,000","179,596","3.8%","31,054","9.4%","32,283","5.4%","17,206","5.3%","16,782","3.2%","4,659","3.8%"
"        $10,000 to $14,999","116,495","2.5%","18,164","5.5%","22,473","3.8%","10,850","3.3%","11,918","2.2%","2,481","2.0%"
"        $15,000 to $24,999","270,926","5.8%","38,140","11.6%","51,576","8.7%","20,950","6.4%","32,023","6.0%","5,321","4.3%"
"        $25,000 to $34,999","300,971","6.4%","32,602","9.9%","48,032","8.1%","17,716","5.4%","40,896","7.7%","5,064","4.1%"
"        $35,000 to $49,999","449,497","9.6%","45,848","13.9%","65,197","11.0%","23,608","7.3%","58,463","11.0%","9,583","7.8%"
"        $50,000 to $74,999","702,118","15.0%","56,575","17.2%","86,417","14.5%","33,461","10.3%","85,767","16.2%","16,922","13.8%"
"        $75,000 to $99,999","604,451","12.9%","36,649","11.1%","69,293","11.7%","24,831","7.6%","74,232","14.0%","15,466","12.6%"
"        $100,000 to $149,999","881,605","18.9%","41,692","12.7%","93,345","15.7%","41,166","12.6%","102,080","19.3%","27,652","22.5%"
"        $150,000 to $199,999","482,977","10.3%","15,582","4.7%","52,271","8.8%","28,948","8.9%","53,166","10.0%","17,282","14.0%"
"        $200,000 or more","681,517","14.6%","13,198","4.0%","73,536","12.4%","106,747","32.8%","54,867","10.3%","18,596","15.1%"
"        Median family income (dollars)","87,270","(X)","49,624","(X)","71,985","(X)","114,659","(X)","81,193","(X)","102,502","(X)"
"        Mean family income (dollars)","123,221","(X)","69,184","(X)","107,036","(X)","218,674","(X)","103,790","(X)","122,769","(X)"
"    Per capita income (dollars)","40,898","(X)","22,749","(X)","36,295","(X)","78,771","(X)","33,626","(X)","38,096","(X)"
"    Nonfamily households","2,747,071","2,747,071","180,631","180,631","377,891","377,891","433,237","433,237","253,168","253,168","44,134","44,134"
"        Median nonfamily income (dollars)","43,646","(X)","24,338","(X)","47,545","(X)","76,085","(X)","48,900","(X)","42,428","(X)"
"        Mean nonfamily income (dollars)","69,777","(X)","40,722","(X)","74,067","(X)","120,846","(X)","66,573","(X)","57,992","(X)"
"    Median earnings for workers (dollars)","41,119","(X)","30,174","(X)","41,559","(X)","63,418","(X)","39,755","(X)","48,342","(X)"
"    Median earnings for male full-time, year-round workers (dollars)","60,871","(X)","42,177","(X)","58,350","(X)","96,611","(X)","52,263","(X)","70,335","(X)"
"    Median earnings for female full-time, year-round workers (dollars)","52,668","(X)","41,672","(X)","54,016","(X)","78,955","(X)","50,903","(X)","56,785","(X)"
"HEALTH INSURANCE COVERAGE","","","","","","","","","","","",""
"    Civilian noninstitutionalized population","19,276,809","19,276,809","1,405,816","1,405,816","2,562,576","2,562,576","1,618,383","1,618,383","2,255,744","2,255,744","471,599","471,599"
"        With health insurance coverage","18,239,538","94.6%","1,292,810","92.0%","2,391,663","93.3%","1,542,678","95.3%","2,055,087","91.1%","452,323","95.9%"
"            With private health insurance","13,031,045","67.6%","650,591","46.3%","1,446,760","56.5%","1,140,103","70.4%","1,339,433","59.4%","341,766","72.5%"
"            With public coverage","7,600,094","39.4%","789,362","56.1%","1,162,465","45.4%","548,069","33.9%","920,993","40.8%","162,011","34.4%"
"        No health insurance coverage","1,037,271","5.4%","113,006","8.0%","170,913","6.7%","75,705","4.7%","200,657","8.9%","19,276","4.1%"
"    Civilian noninstitutionalized population under 19 years","4,310,934","4,310,934","372,540","372,540","613,043","613,043","249,284","249,284","478,225","478,225","109,382","109,382"
"        No health insurance coverage","108,372","2.5%","8,326","2.2%","13,356","2.2%","5,014","2.0%","14,311","3.0%","2,138","2.0%"
"    Civilian noninstitutionalized population 19 to 64 years","11,839,556","11,839,556","858,894","858,894","1,597,115","1,597,115","1,104,073","1,104,073","1,428,483","1,428,483","287,143","287,143"
"        In labor force:","9,216,920","9,216,920","623,545","623,545","1,229,577","1,229,577","875,629","875,629","1,118,150","1,118,150","212,025","212,025"
"            Employed:","8,706,487","8,706,487","562,346","562,346","1,150,551","1,150,551","827,040","827,040","1,052,594","1,052,594","202,171","202,171"
"                With health insurance coverage","8,093,386","93.0%","497,689","88.5%","1,047,869","91.1%","783,496","94.7%","925,345","87.9%","192,663","95.3%"
"                    With private health insurance","6,983,567","80.2%","354,521","63.0%","841,322","73.1%","708,071","85.6%","753,941","71.6%","173,684","85.9%"
"                    With public coverage","1,334,360","15.3%","170,860","30.4%","236,206","20.5%","87,375","10.6%","196,058","18.6%","22,850","11.3%"
"                No health insurance coverage","613,101","7.0%","64,657","11.5%","102,682","8.9%","43,544","5.3%","127,249","12.1%","9,508","4.7%"
"            Unemployed:","510,433","510,433","61,199","61,199","79,026","79,026","48,589","48,589","65,556","65,556","9,854","9,854"
"                With health insurance coverage","435,323","85.3%","51,629","84.4%","66,261","83.8%","41,799","86.0%","53,414","81.5%","8,711","88.4%"
"                    With private health insurance","216,983","42.5%","16,213","26.5%","27,901","35.3%","21,985","45.2%","25,560","39.0%","4,879","49.5%"
"                    With public coverage","239,667","47.0%","39,673","64.8%","41,952","53.1%","21,535","44.3%","29,788","45.4%","4,137","42.0%"
"                No health insurance coverage","75,110","14.7%","9,570","15.6%","12,765","16.2%","6,790","14.0%","12,142","18.5%","1,143","11.6%"
"        Not in labor force:","2,622,636","2,622,636","235,349","235,349","367,538","367,538","228,444","228,444","310,333","310,333","75,118","75,118"
"            With health insurance coverage","2,406,515","91.8%","208,115","88.4%","329,759","89.7%","210,426","92.1%","270,295","87.1%","69,358","92.3%"
"                With private health insurance","1,325,093","50.5%","66,911","28.4%","139,446","37.9%","119,280","52.2%","136,077","43.8%","43,834","58.4%"
"                With public coverage","1,286,618","49.1%","161,440","68.6%","212,875","57.9%","102,309","44.8%","152,606","49.2%","30,931","41.2%"
"            No health insurance coverage","216,121","8.2%","27,234","11.6%","37,779","10.3%","18,018","7.9%","40,038","12.9%","5,760","7.7%"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","","","","","","","","","","","",""
"    All families","(X)","10.0%","(X)","23.3%","(X)","15.4%","(X)","12.0%","(X)","9.0%","(X)","8.6%"
"        With related children of the householder under 18 years","(X)","15.4%","(X)","31.7%","(X)","21.3%","(X)","16.8%","(X)","12.3%","(X)","12.3%"
"            With related children of the householder under 5 years only","(X)","13.5%","(X)","26.2%","(X)","16.3%","(X)","9.4%","(X)","10.8%","(X)","9.2%"
"        Married couple families","(X)","5.4%","(X)","12.8%","(X)","11.4%","(X)","5.7%","(X)","6.9%","(X)","5.1%"
"            With related children of the householder under 18 years","(X)","7.3%","(X)","16.6%","(X)","14.7%","(X)","5.4%","(X)","8.0%","(X)","6.4%"
"                With related children of the householder under 5 years only","(X)","5.8%","(X)","10.5%","(X)","10.4%","(X)","2.2%","(X)","6.4%","(X)","6.1%"
"        Families with female householder, no spouse present","(X)","23.5%","(X)","35.0%","(X)","24.1%","(X)","27.4%","(X)","15.8%","(X)","20.8%"
"            With related children of the householder under 18 years","(X)","33.7%","(X)","45.7%","(X)","33.7%","(X)","38.1%","(X)","24.4%","(X)","31.0%"
"                With related children of the householder under 5 years only","(X)","34.8%","(X)","42.6%","(X)","31.6%","(X)","34.0%","(X)","25.2%","(X)","23.5%"
"    All people","(X)","13.6%","(X)","27.0%","(X)","19.2%","(X)","15.6%","(X)","11.6%","(X)","10.8%"
"        Under 18 years","(X)","18.7%","(X)","36.8%","(X)","26.3%","(X)","20.0%","(X)","14.6%","(X)","14.6%"
"            Related children of the householder under 18 years","(X)","18.3%","(X)","36.6%","(X)","26.1%","(X)","19.9%","(X)","14.2%","(X)","14.3%"
"                Related children of the householder under 5 years","(X)","19.7%","(X)","37.6%","(X)","25.7%","(X)","17.4%","(X)","14.7%","(X)","13.3%"
"                Related children of the householder 5 to 17 years","(X)","17.8%","(X)","36.2%","(X)","26.3%","(X)","21.1%","(X)","14.0%","(X)","14.6%"
"        18 years and over","(X)","12.2%","(X)","23.7%","(X)","17.1%","(X)","14.8%","(X)","10.9%","(X)","9.8%"
"            18 to 64 years","(X)","12.4%","(X)","23.6%","(X)","16.3%","(X)","14.0%","(X)","10.2%","(X)","9.5%"
"            65 years and over","(X)","11.5%","(X)","24.3%","(X)","21.1%","(X)","18.0%","(X)","13.7%","(X)","10.6%"
"        People in families","(X)","10.8%","(X)","24.3%","(X)","17.1%","(X)","12.9%","(X)","9.2%","(X)","8.7%"
"        Unrelated individuals 15 years and over","(X)","23.9%","(X)","38.0%","(X)","26.5%","(X)","19.8%","(X)","22.4%","(X)","24.6%"
