"        $100,000 to $149,999","1,012,856","36,797","109,352","100,715","114,622","30,194"
"        $150,000 to $199,999","446,677","11,498","45,105","57,555","45,649","15,154"
"        $200,000 or more","529,681","7,959","49,591","130,655","34,428","12,695"
"        Median household income (dollars)","57,369","33,009","47,520","72,190","56,599","69,633"
"        Mean household income (dollars)","84,973","48,800","71,501","134,222","73,656","90,193"
"    With earnings","5,601,555","349,111","722,626","576,970","635,953","131,865"
"        Mean earnings (dollars)","89,177","54,804","78,435","142,031","77,135","94,515"
"    With Social Security","2,134,881","120,115","212,834","166,339","206,652","51,004"
"        Mean Social Security income (dollars)","17,604","13,373","14,783","16,574","16,582","18,609"
"    With retirement income","1,267,499","53,639","97,667","74,970","106,862","32,506"
"        Mean retirement income (dollars)","25,332","20,151","22,119","33,851","22,603","28,258"
"    With Supplemental Security Income","455,116","65,195","83,238","41,490","41,315","8,521"
"        Mean Supplemental Security Income (dollars)","8,921","8,398","8,797","7,726","8,176","9,402"
"    With cash public assistance income","253,106","32,606","39,722","17,638","26,880","5,635"
"        Mean cash public assistance income (dollars)","3,904","3,585","4,411","3,711","4,010","4,711"
"    With Food Stamp/SNAP benefits in the past 12 months","1,140,999","182,381","228,412","105,162","114,636","22,351"
"    Families","4,584,095","314,768","586,156","293,761","522,704","122,079"
"        Less than $10,000","229,471","38,583","43,498","19,990","24,197","5,946"
"        $10,000 to $14,999","162,654","24,318","35,700","12,591","16,337","2,780"
"        $15,000 to $24,999","359,711","43,613","64,753","25,013","49,390","7,699"
"        $25,000 to $34,999","373,620","40,224","62,632","21,176","47,723","7,269"
"        $35,000 to $49,999","516,835","43,620","71,344","23,774","69,272","11,038"
"        $50,000 to $74,999","780,359","50,355","97,859","30,443","91,950","19,432"
"        $75,000 to $99,999","605,438","30,942","63,684","23,003","70,679","15,083"
"        $100,000 to $149,999","777,493","26,905","76,349","38,902","88,325","26,662"
"        $150,000 to $199,999","355,969","9,472","32,776","24,305","37,061","14,153"
"        $200,000 or more","422,545","6,736","37,561","74,564","27,770","12,017"
"        Median family income (dollars)","70,485","37,357","52,929","88,247","63,030","86,077"
"        Mean family income (dollars)","98,773","53,695","78,776","177,804","81,203","104,824"
"    Per capita income (dollars)","32,514","17,907","26,641","63,336","26,463","32,375"
"    Nonfamily households","2,635,261","166,375","339,333","432,596","261,539","45,550"
"        Median nonfamily income (dollars)","35,998","21,551","36,029","63,017","40,048","36,227"
"        Mean nonfamily income (dollars)","57,529","35,324","55,214","103,587","53,372","47,910"
"    Median earnings for workers (dollars)","33,062","25,385","31,909","51,527","32,002","42,119"
"    Median earnings for male full-time, year-round workers (dollars)","51,414","35,637","44,777","82,087","42,366","61,244"
"    Median earnings for female full-time, year-round workers (dollars)","44,114","35,989","42,021","65,369","43,353","50,407"
"HEALTH INSURANCE COVERAGE","","","","","",""
"    Civilian noninstitutionalized population","19,400,069","1,394,745","2,581,940","1,615,690","2,281,237","468,623"
"        With health insurance coverage","17,330,548","1,193,089","2,245,269","1,464,779","1,889,346","427,780"
"            With private health insurance","12,618,903","591,895","1,321,345","1,083,158","1,226,520","318,623"
"            With public coverage","6,833,539","717,690","1,101,824","510,570","834,750","150,377"
"        No health insurance coverage","2,069,521","201,656","336,671","150,911","391,891","40,843"
"    Civilian noninstitutionalized population under 18 years","4,230,975","364,495","604,622","238,097","468,569","106,330"
"        No health insurance coverage","170,783","14,459","18,826","9,495","21,302","3,818"
"    Civilian noninstitutionalized population 18 to 64 years","12,439,975","882,265","1,672,214","1,152,250","1,514,401","298,162"
"        In labor force:","9,486,258","619,353","1,249,995","893,030","1,154,286","214,498"
"            Employed:","8,674,478","530,406","1,120,799","825,647","1,051,676","198,838"
"                With health insurance coverage","7,460,981","413,420","920,158","742,151","807,829","177,828"
"                    With private health insurance","6,684,140","310,466","755,919","676,396","683,345","162,823"
"                    With public coverage","940,197","117,556","185,777","74,257","141,763","17,945"
"                No health insurance coverage","1,213,497","116,986","200,641","83,496","243,847","21,010"
"            Unemployed:","811,780","88,947","129,196","67,383","102,610","15,660"
"                With health insurance coverage","574,015","63,892","87,927","45,772","67,836","11,677"
"                    With private health insurance","307,181","20,835","38,366","22,795","34,396","7,385"
"                    With public coverage","293,522","47,027","54,218","25,133","35,784","4,526"
"                No health insurance coverage","237,765","25,055","41,269","21,611","34,774","3,983"
"        Not in labor force:","2,953,717","262,912","422,219","259,220","360,115","83,664"
"            With health insurance coverage","2,533,503","221,178","351,853","224,770","273,798","72,249"
"                With private health insurance","1,464,911","70,764","148,321","128,283","138,037","46,520"
"                With public coverage","1,271,987","167,904","224,344","108,042","149,738","30,344"
"            No health insurance coverage","420,214","41,734","70,366","34,450","86,317","11,415"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","","","","","",""
"    All families","(X)","(X)","(X)","(X)","(X)","(X)"
"        With related children under 18 years","(X)","(X)","(X)","(X)","(X)","(X)"
"            With related children under 5 years only","(X)","(X)","(X)","(X)","(X)","(X)"
"    Married couple families","(X)","(X)","(X)","(X)","(X)","(X)"
"        With related children under 18 years","(X)","(X)","(X)","(X)","(X)","(X)"
"            With related children under 5 years only","(X)","(X)","(X)","(X)","(X)","(X)"
"    Families with female householder, no husband present","(X)","(X)","(X)","(X)","(X)","(X)"
"        With related children under 18 years","(X)","(X)","(X)","(X)","(X)","(X)"
"            With related children under 5 years only","(X)","(X)","(X)","(X)","(X)","(X)"
"    All people","(X)","(X)","(X)","(X)","(X)","(X)"
"    Under 18 years","(X)","(X)","(X)","(X)","(X)","(X)"
"        Related children under 18 years","(X)","(X)","(X)","(X)","(X)","(X)"
"            Related children under 5 years","(X)","(X)","(X)","(X)","(X)","(X)"
"            Related children 5 to 17 years","(X)","(X)","(X)","(X)","(X)","(X)"
"    18 years and over","(X)","(X)","(X)","(X)","(X)","(X)"
"    18 to 64 years","(X)","(X)","(X)","(X)","(X)","(X)"
"    65 years and over","(X)","(X)","(X)","(X)","(X)","(X)"
"        People in families","(X)","(X)","(X)","(X)","(X)","(X)"
"        Unrelated individuals 15 years and over","(X)","(X)","(X)","(X)","(X)","(X)"
