"        $100,000 to $149,999","1,152,035","44,525","138,728","105,852","137,163","32,274"
"        $150,000 to $199,999","585,743","17,938","74,552","60,381","64,162","20,648"
"        $200,000 or more","784,922","15,423","96,429","170,558","61,354","18,155"
"        Median household income (dollars)","67,844","38,467","61,220","85,066","69,320","82,166"
"        Mean household income (dollars)","100,422","57,617","92,542","156,633","89,633","101,953"
"        With earnings","5,666,264","366,163","759,387","588,839","637,308","128,262"
"            Mean earnings (dollars)","105,961","65,503","102,086","169,191","93,677","106,894"
"        With Social Security","2,321,165","136,609","245,667","182,451","227,218","56,529"
"            Mean Social Security income (dollars)","19,531","14,574","16,939","18,110","18,027","20,536"
"        With retirement income","1,387,372","65,971","114,956","88,919","120,089","37,258"
"            Mean retirement income (dollars)","29,537","23,834","25,240","33,985","26,479","35,322"
"        With Supplemental Security Income","479,408","65,814","86,916","45,338","44,447","9,157"
"            Mean Supplemental Security Income (dollars)","9,717","8,846","9,350","9,031","9,592","10,914"
"        With cash public assistance income","249,931","47,150","44,774","23,149","22,146","7,153"
"            Mean cash public assistance income (dollars)","3,420","3,218","3,248","3,732","3,196","5,875"
"        With Food Stamp/SNAP benefits in the past 12 months","1,072,330","185,720","215,975","92,130","102,509","18,891"
"    Families","4,632,936","323,214","591,462","319,832","539,742","118,442"
"        Less than $10,000","187,389","35,549","33,180","18,226","17,379","4,754"
"        $10,000 to $14,999","121,855","19,144","25,326","10,604","12,423","2,784"
"        $15,000 to $24,999","293,762","40,144","51,619","24,023","37,116","4,681"
"        $25,000 to $34,999","318,808","32,597","46,242","15,701","48,043","5,529"
"        $35,000 to $49,999","450,995","42,207","62,443","23,761","61,439","8,965"
"        $50,000 to $74,999","717,510","58,525","89,261","35,190","90,468","15,000"
"        $75,000 to $99,999","602,989","34,765","70,637","25,252","71,616","14,685"
"        $100,000 to $149,999","864,237","33,158","95,610","38,589","103,846","27,239"
"        $150,000 to $199,999","452,269","14,942","50,058","24,101","48,194","18,693"
"        $200,000 or more","623,122","12,183","67,086","104,385","49,218","16,112"
"        Median family income (dollars)","83,311","46,815","71,054","107,493","75,797","102,436"
"        Mean family income (dollars)","118,065","65,777","103,391","216,376","97,506","118,146"
"    Per capita income (dollars)","38,884","21,712","34,709","74,911","31,866","35,966"
"    Nonfamily households","2,734,079","184,156","377,855","432,426","248,368","48,999"
"        Median nonfamily income (dollars)","41,092","23,109","42,345","72,804","48,292","42,793"
"        Mean nonfamily income (dollars)","65,700","37,402","69,979","110,163","64,472","55,979"
"    Median earnings for workers (dollars)","40,222","27,672","40,764","61,224","38,642","48,165"
"    Median earnings for male full-time, year-round workers (dollars)","58,064","40,475","56,026","92,458","50,481","67,364"
"    Median earnings for female full-time, year-round workers (dollars)","50,921","40,260","51,725","74,721","47,396","52,591"
"HEALTH INSURANCE COVERAGE","","","","","",""
"    Civilian noninstitutionalized population","19,302,636","1,410,423","2,568,737","1,617,657","2,263,248","471,911"
"        With health insurance coverage","18,261,403","1,295,184","2,395,800","1,533,230","2,057,840","450,513"
"            With private health insurance","12,976,061","624,565","1,451,584","1,137,423","1,324,995","338,472"
"            With public coverage","7,693,168","811,159","1,170,516","549,323","932,761","161,249"
"        No health insurance coverage","1,041,233","115,239","172,937","84,427","205,408","21,398"
"    Civilian noninstitutionalized population under 19 years","4,306,394","370,743","614,346","247,824","481,201","110,188"
"        No health insurance coverage","107,381","7,188","13,863","4,475","17,165","3,147"
"    Civilian noninstitutionalized population 19 to 64 years","11,879,398","865,873","1,603,861","1,106,878","1,435,224","287,028"
"        In labor force:","9,236,970","636,626","1,230,096","879,886","1,132,073","207,708"
"            Employed:","8,789,434","572,407","1,170,901","837,916","1,075,959","199,533"
"                With health insurance coverage","8,154,569","503,024","1,062,528","790,973","938,220","189,118"
"                    With private health insurance","7,006,804","349,732","862,833","711,585","753,783","170,702"
"                    With public coverage","1,380,267","180,955","233,668","93,111","208,637","22,136"
"                No health insurance coverage","634,865","69,383","108,373","46,943","137,739","10,415"
"            Unemployed:","447,536","64,219","59,195","41,970","56,114","8,175"
"                With health insurance coverage","384,644","55,057","49,661","35,334","47,457","7,560"
"                    With private health insurance","188,109","16,579","21,431","19,869","23,053","3,765"
"                    With public coverage","216,870","44,185","30,789","16,447","26,234","3,875"
"                No health insurance coverage","62,892","9,162","9,534","6,636","8,657","615"
"        Not in labor force:","2,642,428","229,247","373,765","226,992","303,151","79,320"
"            With health insurance coverage","2,429,648","203,414","335,913","204,050","268,742","72,431"
"                With private health insurance","1,321,411","59,875","136,374","112,963","138,386","45,192"
"                With public coverage","1,325,756","160,319","224,518","108,946","149,540","31,779"
"            No health insurance coverage","212,780","25,833","37,852","22,942","34,409","6,889"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","","","","","",""
"    All families","(X)","(X)","(X)","(X)","(X)","(X)"
"        With related children of the householder under 18 years","(X)","(X)","(X)","(X)","(X)","(X)"
"            With related children of the householder under 5 years only","(X)","(X)","(X)","(X)","(X)","(X)"
"    Married couple families","(X)","(X)","(X)","(X)","(X)","(X)"
"        With related children of the householder under 18 years","(X)","(X)","(X)","(X)","(X)","(X)"
"            With related children of the householder under 5 years only","(X)","(X)","(X)","(X)","(X)","(X)"
"    Families with female householder, no husband present","(X)","(X)","(X)","(X)","(X)","(X)"
"        With related children of the householder under 18 years","(X)","(X)","(X)","(X)","(X)","(X)"
"            With related children of the householder under 5 years only","(X)","(X)","(X)","(X)","(X)","(X)"
"    All people","(X)","(X)","(X)","(X)","(X)","(X)"
"    Under 18 years","(X)","(X)","(X)","(X)","(X)","(X)"
"        Related children of the householder under 18 years","(X)","(X)","(X)","(X)","(X)","(X)"
"            Related children of the householder under 5 years","(X)","(X)","(X)","(X)","(X)","(X)"
"            Related children of the householder 5 to 17 years","(X)","(X)","(X)","(X)","(X)","(X)"
"    18 years and over","(X)","(X)","(X)","(X)","(X)","(X)"
"    18 to 64 years","(X)","(X)","(X)","(X)","(X)","(X)"
"    65 years and over","(X)","(X)","(X)","(X)","(X)","(X)"
"    People in families","(X)","(X)","(X)","(X)","(X)","(X)"
"    Unrelated individuals 15 years and over","(X)","(X)","(X)","(X)","(X)","(X)"
