"        $100,000 to $149,999","1,062,587","41,224","120,130","103,840","116,876","32,661"
"        $150,000 to $199,999","496,206","14,069","55,037","59,561","52,561","14,775"
"        $200,000 or more","585,493","9,738","61,328","145,323","40,431","12,035"
"        Median household income (dollars)","60,850","35,176","51,141","75,575","60,422","71,622"
"        Mean household income (dollars)","89,908","51,513","78,063","140,997","78,725","88,298"
"    With earnings","5,597,673","362,583","740,188","595,830","634,217","127,991"
"        Mean earnings (dollars)","93,906","57,370","85,081","149,629","81,256","93,016"
"    With Social Security","2,191,829","123,607","220,125","175,039","208,286","52,763"
"        Mean Social Security income (dollars)","18,434","14,262","15,299","17,747","16,954","19,805"
"    With retirement income","1,318,989","53,727","102,042","81,178","112,108","33,934"
"        Mean retirement income (dollars)","26,249","20,507","22,192","31,900","23,400","33,326"
"    With Supplemental Security Income","468,451","61,628","84,495","46,458","44,330","8,676"
"        Mean Supplemental Security Income (dollars)","9,243","8,885","8,961","8,108","8,930","9,784"
"    With cash public assistance income","241,499","35,799","41,948","18,837","25,167","5,234"
"        Mean cash public assistance income (dollars)","3,612","3,656","3,548","3,550","3,636","2,925"
"    With Food Stamp/SNAP benefits in the past 12 months","1,108,303","177,578","219,184","102,322","105,190","21,308"
"    Families","4,561,118","323,424","583,603","302,832","529,270","127,322"
"        Less than $10,000","217,525","39,811","37,445","16,750","20,682","8,317"
"        $10,000 to $14,999","149,516","23,798","32,488","14,303","16,700","3,129"
"        $15,000 to $24,999","329,692","45,037","64,706","21,997","44,486","6,847"
"        $25,000 to $34,999","354,471","35,965","58,664","22,754","50,212","6,698"
"        $35,000 to $49,999","492,527","42,296","69,344","24,442","66,313","11,483"
"        $50,000 to $74,999","762,716","56,388","92,369","33,093","96,094","20,409"
"        $75,000 to $99,999","596,770","28,559","62,773","24,116","68,267","17,305"
"        $100,000 to $149,999","805,750","32,691","81,841","38,203","93,457","28,254"
"        $150,000 to $199,999","390,624","11,030","38,034","23,522","41,201","13,735"
"        $200,000 or more","461,527","7,849","45,939","83,652","31,858","11,145"
"        Median family income (dollars)","73,854","40,493","56,737","92,144","66,403","82,709"
"        Mean family income (dollars)","104,644","57,288","87,013","190,872","85,698","99,681"
"    Per capita income (dollars)","34,297","18,880","28,898","67,255","27,778","31,284"
"    Nonfamily households","2,672,576","172,089","356,573","448,412","245,482","40,140"
"        Median nonfamily income (dollars)","38,111","21,428","37,307","65,985","42,407","32,094"
"        Mean nonfamily income (dollars)","60,832","35,877","58,798","105,550","57,280","48,015"
"    Median earnings for workers (dollars)","35,580","25,847","34,144","55,011","33,346","42,720"
"    Median earnings for male full-time, year-round workers (dollars)","52,124","37,221","49,156","81,623","45,055","62,856"
"    Median earnings for female full-time, year-round workers (dollars)","46,208","36,249","45,474","65,979","44,109","50,872"
"HEALTH INSURANCE COVERAGE","","","","","",""
"    Civilian noninstitutionalized population","19,556,452","1,434,184","2,625,368","1,634,473","2,324,250","470,512"
"        With health insurance coverage","18,175,904","1,282,724","2,387,383","1,526,087","2,054,758","444,777"
"            With private health insurance","12,885,703","616,413","1,389,840","1,104,606","1,322,578","329,873"
"            With public coverage","7,513,017","799,605","1,174,592","555,331","918,919","159,460"
"        No health insurance coverage","1,380,548","151,460","237,985","108,386","269,492","25,735"
"    Civilian noninstitutionalized population under 18 years","4,204,378","368,220","612,063","240,020","478,061","104,721"
"        No health insurance coverage","103,643","9,715","14,075","3,128","13,444","1,743"
"    Civilian noninstitutionalized population 18 to 64 years","12,481,696","908,093","1,692,536","1,159,577","1,532,414","296,816"
"        In labor force:","9,504,625","643,590","1,274,477","909,674","1,174,113","207,119"
"            Employed:","8,892,365","575,904","1,176,874","854,098","1,094,424","196,065"
"                With health insurance coverage","8,055,418","488,588","1,032,852","784,185","921,051","182,599"
"                    With private health insurance","6,968,740","339,381","817,148","698,939","754,866","165,578"
"                    With public coverage","1,284,863","171,562","240,802","96,611","187,358","19,903"
"                No health insurance coverage","836,947","87,316","144,022","69,913","173,373","13,466"
"            Unemployed:","612,260","67,686","97,603","55,576","79,689","11,054"
"                With health insurance coverage","503,387","54,322","78,247","47,386","64,031","9,567"
"                    With private health insurance","252,206","17,808","33,043","22,405","30,771","6,575"
"                    With public coverage","274,355","41,686","47,542","26,527","34,440","3,473"
"                No health insurance coverage","108,873","13,364","19,356","8,190","15,658","1,487"
"        Not in labor force:","2,977,071","264,503","418,059","249,903","358,301","89,697"
"            With health insurance coverage","2,669,375","227,885","362,303","224,756","296,454","81,272"
"                With private health insurance","1,474,917","69,044","151,416","130,671","147,673","49,593"
"                With public coverage","1,405,696","178,875","232,050","105,131","169,410","36,157"
"            No health insurance coverage","307,696","36,618","55,756","25,147","61,847","8,425"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","","","","","",""
"    All families","(X)","(X)","(X)","(X)","(X)","(X)"
"        With related children of the householder under 18 years","(X)","(X)","(X)","(X)","(X)","(X)"
"            With related children of the householder under 5 years only","(X)","(X)","(X)","(X)","(X)","(X)"
"    Married couple families","(X)","(X)","(X)","(X)","(X)","(X)"
"        With related children of the householder under 18 years","(X)","(X)","(X)","(X)","(X)","(X)"
"            With related children of the householder under 5 years only","(X)","(X)","(X)","(X)","(X)","(X)"
"    Families with female householder, no husband present","(X)","(X)","(X)","(X)","(X)","(X)"
"        With related children of the householder under 18 years","(X)","(X)","(X)","(X)","(X)","(X)"
"            With related children of the householder under 5 years only","(X)","(X)","(X)","(X)","(X)","(X)"
"    All people","(X)","(X)","(X)","(X)","(X)","(X)"
"    Under 18 years","(X)","(X)","(X)","(X)","(X)","(X)"
"        Related children of the householder under 18 years","(X)","(X)","(X)","(X)","(X)","(X)"
"            Related children of the householder under 5 years","(X)","(X)","(X)","(X)","(X)","(X)"
"            Related children of the householder 5 to 17 years","(X)","(X)","(X)","(X)","(X)","(X)"
"    18 years and over","(X)","(X)","(X)","(X)","(X)","(X)"
"    18 to 64 years","(X)","(X)","(X)","(X)","(X)","(X)"
"    65 years and over","(X)","(X)","(X)","(X)","(X)","(X)"
"        People in families","(X)","(X)","(X)","(X)","(X)","(X)"
"        Unrelated individuals 15 years and over","(X)","(X)","(X)","(X)","(X)","(X)"
