"        Public administration","446,649","4.8%","22,814","4.2%","49,204","4.1%","25,740","3.2%","47,622","4.6%","13,053","6.1%"
"CLASS OF WORKER","","","","","","","","","","","",""
"    Civilian employed population 16 years and over","9,226,373","9,226,373","543,192","543,192","1,189,436","1,189,436","806,897","806,897","1,045,932","1,045,932","215,477","215,477"
"        Private wage and salary workers","7,145,887","77.5%","427,016","78.6%","931,813","78.3%","677,141","83.9%","818,424","78.2%","157,459","73.1%"
"        Government workers","1,545,972","16.8%","90,096","16.6%","178,002","15.0%","76,348","9.5%","157,521","15.1%","46,827","21.7%"
"        Self-employed in own not incorporated business workers","515,867","5.6%","24,724","4.6%","75,934","6.4%","52,046","6.5%","67,661","6.5%","10,957","5.1%"
"        Unpaid family workers","18,647","0.2%","1,356","0.2%","3,687","0.3%","1,362","0.2%","2,326","0.2%","234","0.1%"
"INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Total households","7,652,666","7,652,666","533,004","533,004","1,001,868","1,001,868","737,575","737,575","820,686","820,686","170,762","170,762"
"        Less than $10,000","535,006","7.0%","71,138","13.3%","86,408","8.6%","69,862","9.5%","57,595","7.0%","11,675","6.8%"
"        $10,000 to $14,999","327,210","4.3%","44,780","8.4%","53,612","5.4%","38,313","5.2%","31,688","3.9%","5,687","3.3%"
"        $15,000 to $24,999","556,748","7.3%","57,344","10.8%","85,863","8.6%","47,087","6.4%","56,373","6.9%","8,375","4.9%"
"        $25,000 to $34,999","535,722","7.0%","53,297","10.0%","70,338","7.0%","44,308","6.0%","58,396","7.1%","11,649","6.8%"
"        $35,000 to $49,999","747,580","9.8%","72,365","13.6%","98,813","9.9%","54,408","7.4%","80,734","9.8%","15,394","9.0%"
"        $50,000 to $74,999","1,150,725","15.0%","82,078","15.4%","142,976","14.3%","81,831","11.1%","133,988","16.3%","22,717","13.3%"
"        $75,000 to $99,999","915,038","12.0%","54,101","10.2%","111,453","11.1%","71,830","9.7%","107,189","13.1%","20,857","12.2%"
"        $100,000 to $149,999","1,226,500","16.0%","54,818","10.3%","152,734","15.2%","95,136","12.9%","138,627","16.9%","29,802","17.5%"
"        $150,000 to $199,999","670,250","8.8%","21,699","4.1%","77,832","7.8%","63,659","8.6%","74,865","9.1%","22,407","13.1%"
"        $200,000 or more","987,887","12.9%","21,384","4.0%","121,839","12.2%","171,141","23.2%","81,231","9.9%","22,199","13.0%"
"        Median household income (dollars)","74,314","(X)","43,011","(X)","67,567","(X)","84,435","(X)","73,262","(X)","86,054","(X)"
"        Mean household income (dollars)","109,732","(X)","62,502","(X)","103,738","(X)","157,047","(X)","97,041","(X)","109,811","(X)"
"        With earnings","5,802,033","75.8%","384,203","72.1%","783,218","78.2%","556,174","75.4%","643,393","78.4%","128,145","75.0%"
"            Mean earnings (dollars)","114,465","(X)","67,619","(X)","112,411","(X)","171,454","(X)","98,665","(X)","116,558","(X)"
"        With Social Security","2,458,173","32.1%","153,278","28.8%","266,267","26.6%","190,235","25.8%","251,124","30.6%","57,146","33.5%"
"            Mean Social Security income (dollars)","20,937","(X)","15,105","(X)","17,232","(X)","20,495","(X)","19,492","(X)","20,390","(X)"
"        With retirement income","1,904,980","24.9%","95,278","17.9%","166,653","16.6%","125,743","17.0%","166,870","20.3%","45,040","26.4%"
"            Mean retirement income (dollars)","30,639","(X)","24,745","(X)","24,299","(X)","36,012","(X)","29,786","(X)","35,152","(X)"
"        With Supplemental Security Income","470,611","6.1%","64,263","12.1%","77,185","7.7%","45,545","6.2%","44,283","5.4%","10,856","6.4%"
"            Mean Supplemental Security Income (dollars)","10,030","(X)","8,867","(X)","9,704","(X)","8,952","(X)","9,942","(X)","12,069","(X)"
"        With cash public assistance income","364,156","4.8%","48,553","9.1%","68,899","6.9%","43,281","5.9%","49,038","6.0%","8,952","5.2%"
"            Mean cash public assistance income (dollars)","5,653","(X)","3,655","(X)","6,728","(X)","5,323","(X)","6,507","(X)","6,293","(X)"
"        With Food Stamp/SNAP benefits in the past 12 months","1,145,332","15.0%","195,476","36.7%","222,332","22.2%","106,497","14.4%","121,827","14.8%","21,746","12.7%"
"    Families","4,715,750","4,715,750","341,285","341,285","597,628","597,628","300,461","300,461","532,782","532,782","120,386","120,386"
"        Less than $10,000","198,753","4.2%","32,963","9.7%","33,475","5.6%","17,205","5.7%","22,083","4.1%","5,803","4.8%"
"        $10,000 to $14,999","105,735","2.2%","21,173","6.2%","19,869","3.3%","9,015","3.0%","12,000","2.3%","1,875","1.6%"
"        $15,000 to $24,999","242,530","5.1%","31,202","9.1%","48,874","8.2%","18,354","6.1%","32,338","6.1%","3,279","2.7%"
"        $25,000 to $34,999","268,927","5.7%","33,670","9.9%","42,881","7.2%","16,594","5.5%","34,686","6.5%","5,936","4.9%"
"        $35,000 to $49,999","417,857","8.9%","50,008","14.7%","63,407","10.6%","22,186","7.4%","54,590","10.2%","9,896","8.2%"
"        $50,000 to $74,999","693,219","14.7%","59,728","17.5%","87,404","14.6%","29,779","9.9%","88,698","16.6%","15,841","13.2%"
"        $75,000 to $99,999","598,696","12.7%","36,345","10.6%","69,331","11.6%","26,069","8.7%","70,837","13.3%","14,213","11.8%"
"        $100,000 to $149,999","889,926","18.9%","43,786","12.8%","98,674","16.5%","35,820","11.9%","95,862","18.0%","23,927","19.9%"
"        $150,000 to $199,999","515,760","10.9%","16,656","4.9%","49,527","8.3%","27,259","9.1%","57,299","10.8%","19,694","16.4%"
"        $200,000 or more","784,347","16.6%","15,754","4.6%","84,186","14.1%","98,180","32.7%","64,389","12.1%","19,922","16.5%"
"        Median family income (dollars)","92,454","(X)","50,523","(X)","76,020","(X)","109,977","(X)","81,980","(X)","103,824","(X)"
"        Mean family income (dollars)","130,360","(X)","69,881","(X)","115,898","(X)","216,401","(X)","107,976","(X)","127,276","(X)"
"    Per capita income (dollars)","43,078","(X)","23,354","(X)","39,536","(X)","76,589","(X)","34,969","(X)","38,678","(X)"
"    Nonfamily households","2,936,916","2,936,916","191,719","191,719","404,240","404,240","437,114","437,114","287,904","287,904","50,376","50,376"
"        Median nonfamily income (dollars)","45,740","(X)","24,314","(X)","51,935","(X)","71,363","(X)","50,882","(X)","45,394","(X)"
"        Mean nonfamily income (dollars)","71,076","(X)","42,045","(X)","80,062","(X)","114,035","(X)","68,866","(X)","60,858","(X)"
"    Median earnings for workers (dollars)","43,462","(X)","32,137","(X)","42,459","(X)","62,581","(X)","41,319","(X)","52,480","(X)"
"    Median earnings for male full-time, year-round workers (dollars)","67,512","(X)","45,158","(X)","69,335","(X)","103,938","(X)","61,790","(X)","74,771","(X)"
"    Median earnings for female full-time, year-round workers (dollars)","59,869","(X)","47,882","(X)","62,275","(X)","84,200","(X)","60,295","(X)","66,353","(X)"
"HEALTH INSURANCE COVERAGE","","","","","","","","","","","",""
"    Civilian noninstitutionalized population","19,599,048","19,599,048","1,403,989","1,403,989","2,623,994","2,623,994","1,568,178","1,568,178","2,316,760","2,316,760","489,777","489,777"
"        With health insurance coverage","18,579,761","94.8%","1,297,525","92.4%","2,462,635","93.9%","1,494,260","95.3%","2,117,176","91.4%","469,184","95.8%"
"            With private health insurance","12,923,149","65.9%","627,536","44.7%","1,440,624","54.9%","1,075,972","68.6%","1,297,923","56.0%","334,929","68.4%"
"            With public coverage","8,207,280","41.9%","809,727","57.7%","1,263,026","48.1%","588,004","37.5%","1,063,985","45.9%","182,701","37.3%"
"        No health insurance coverage","1,019,287","5.2%","106,464","7.6%","161,359","6.1%","73,918","4.7%","199,584","8.6%","20,593","4.2%"
"    Civilian noninstitutionalized population under 19 years","4,357,303","4,357,303","367,713","367,713","627,433","627,433","247,219","247,219","487,131","487,131","111,117","111,117"
"        No health insurance coverage","115,381","2.6%","11,670","3.2%","13,819","2.2%","5,074","2.1%","14,586","3.0%","2,151","1.9%"
"    Civilian noninstitutionalized population 19 to 64 years","11,856,473","11,856,473","846,546","846,546","1,606,185","1,606,185","1,037,650","1,037,650","1,434,881","1,434,881","297,059","297,059"
"        In labor force:","9,231,010","9,231,010","606,412","606,412","1,250,405","1,250,405","822,467","822,467","1,100,428","1,100,428","217,108","217,108"
"            Employed:","8,439,201","8,439,201","511,054","511,054","1,111,546","1,111,546","736,102","736,102","971,409","971,409","201,555","201,555"
"                With health insurance coverage","7,905,470","93.7%","461,729","90.3%","1,027,813","92.5%","702,901","95.5%","862,904","88.8%","192,601","95.6%"
"                    With private health insurance","6,771,522","80.2%","324,971","63.6%","815,952","73.4%","633,384","86.0%","687,424","70.8%","169,275","84.0%"
"                    With public coverage","1,380,554","16.4%","156,950","30.7%","246,670","22.2%","85,152","11.6%","204,033","21.0%","27,247","13.5%"
"                No health insurance coverage","533,731","6.3%","49,325","9.7%","83,733","7.5%","33,201","4.5%","108,505","11.2%","8,954","4.4%"
"            Unemployed:","791,809","791,809","95,358","95,358","138,859","138,859","86,365","86,365","129,019","129,019","15,553","15,553"
"                With health insurance coverage","685,887","86.6%","81,312","85.3%","119,200","85.8%","73,813","85.5%","108,596","84.2%","13,142","84.5%"
"                    With private health insurance","316,973","40.0%","25,018","26.2%","44,617","32.1%","37,537","43.5%","45,119","35.0%","7,992","51.4%"
"                    With public coverage","404,679","51.1%","59,243","62.1%","78,990","56.9%","43,837","50.8%","68,953","53.4%","5,311","34.1%"
"                No health insurance coverage","105,922","13.4%","14,046","14.7%","19,659","14.2%","12,552","14.5%","20,423","15.8%","2,411","15.5%"
"        Not in labor force:","2,625,463","2,625,463","240,134","240,134","355,780","355,780","215,183","215,183","334,453","334,453","79,951","79,951"
"            With health insurance coverage","2,389,622","91.0%","211,197","87.9%","318,108","89.4%","194,737","90.5%","286,499","85.7%","73,435","91.9%"
"                With private health insurance","1,263,428","48.1%","63,960","26.6%","131,704","37.0%","102,393","47.6%","133,225","39.8%","43,001","53.8%"
"                With public coverage","1,330,159","50.7%","163,743","68.2%","212,384","59.7%","105,827","49.2%","174,273","52.1%","35,193","44.0%"
"            No health insurance coverage","235,841","9.0%","28,937","12.1%","37,672","10.6%","20,446","9.5%","47,954","14.3%","6,516","8.1%"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","","","","","","","","","","","",""
"    All families","(X)","10.1%","(X)","22.1%","(X)","15.3%","(X)","12.9%","(X)","10.5%","(X)","9.3%"
"        With related children of the householder under 18 years","(X)","15.3%","(X)","30.2%","(X)","20.4%","(X)","19.1%","(X)","14.7%","(X)","13.1%"
"            With related children of the householder under 5 years only","(X)","12.2%","(X)","26.0%","(X)","14.9%","(X)","10.4%","(X)","13.0%","(X)","10.0%"
"        Married couple families","(X)","5.6%","(X)","12.2%","(X)","11.3%","(X)","6.2%","(X)","8.0%","(X)","4.5%"
"            With related children of the householder under 18 years","(X)","7.6%","(X)","15.1%","(X)","13.9%","(X)","8.9%","(X)","10.1%","(X)","4.6%"
"                With related children of the householder under 5 years only","(X)","5.7%","(X)","6.2%","(X)","10.4%","(X)","3.6%","(X)","5.8%","(X)","3.7%"
"        Families with female householder, no spouse present","(X)","22.9%","(X)","31.4%","(X)","24.8%","(X)","26.3%","(X)","16.9%","(X)","25.9%"
"            With related children of the householder under 18 years","(X)","33.0%","(X)","40.8%","(X)","34.4%","(X)","36.8%","(X)","25.7%","(X)","35.3%"
"                With related children of the householder under 5 years only","(X)","31.3%","(X)","41.2%","(X)","29.9%","(X)","30.2%","(X)","35.4%","(X)","24.3%"
"    All people","(X)","13.9%","(X)","26.4%","(X)","19.2%","(X)","17.3%","(X)","13.5%","(X)","11.5%"
"        Under 18 years","(X)","18.5%","(X)","34.4%","(X)","25.4%","(X)","22.7%","(X)","16.4%","(X)","15.6%"
"            Related children of the householder under 18 years","(X)","18.3%","(X)","34.1%","(X)","25.2%","(X)","22.4%","(X)","16.1%","(X)","15.6%"
"                Related children of the householder under 5 years","(X)","19.1%","(X)","33.9%","(X)","25.2%","(X)","16.4%","(X)","16.6%","(X)","17.4%"
"                Related children of the householder 5 to 17 years","(X)","18.0%","(X)","34.2%","(X)","25.2%","(X)","25.0%","(X)","15.9%","(X)","15.0%"
"        18 years and over","(X)","12.7%","(X)","23.8%","(X)","17.4%","(X)","16.4%","(X)","12.7%","(X)","10.4%"
"            18 to 64 years","(X)","12.8%","(X)","23.5%","(X)","16.7%","(X)","16.2%","(X)","12.4%","(X)","10.3%"
"            65 years and over","(X)","12.2%","(X)","25.2%","(X)","20.3%","(X)","16.9%","(X)","14.1%","(X)","10.9%"
"        People in families","(X)","11.0%","(X)","23.4%","(X)","17.0%","(X)","14.4%","(X)","10.8%","(X)","9.4%"
"        Unrelated individuals 15 years and over","(X)","24.3%","(X)","38.4%","(X)","26.3%","(X)","21.8%","(X)","24.7%","(X)","24.2%"
