"        Car, truck, or van -- drove alone","4,621,134","109,907","132,093","60,823","24,111","29,749","40,689","28,948","26,852","99,809","334,536","42,143","219,121","22,386","261,925","419,419","47,517","76,035","76,764","167,761","40,602","126,155","42,672","37,747","339,506","57,564","114,888","95,896","31,173","88,192","56,632","30,711","561,144","25,550","27,475","56,817","25,889","32,212","260,369"
"        Car, truck, or van -- carpooled","603,323","11,235","19,040","9,255","2,346","2,164","5,476","3,124","4,139","11,856","41,642","6,631","43,259","3,083","28,774","45,640","7,883","7,838","9,225","18,265","3,484","19,792","3,823","4,465","70,469","6,428","22,033","14,619","5,160","9,857","5,329","4,436","53,580","2,463","2,926","8,831","2,361","5,347","36,662"
"        Public transportation (excluding taxicab)","2,213,840","6,772","289,539","2,319","57","76","142","896","71","5,422","12,937","90","636,764","91","7,458","94,066","428,122","955","122","4,111","371","7,429","347","2,813","492,159","1,546","54,965","11,145","551","653","1,405","172","46,681","697","4,046","2,155","240","32","92,400"
"        Walked","545,495","7,507","43,001","2,961","1,410","1,400","3,420","1,232","2,662","4,524","11,729","1,929","89,857","1,967","10,150","13,855","180,623","1,848","3,176","10,076","1,920","7,469","1,227","651","57,038","2,962","5,909","3,822","4,741","1,848","1,680","2,116","11,078","730","5,101","3,023","1,085","851","20,348"
"        Other means","259,365","5,541","23,166","2,399","519","204","1,212","318","365","2,995","9,226","683","48,589","423","7,546","13,176","46,480","2,359","1,582","4,058","1,120","5,806","84","337","28,418","1,247","3,815","5,409","335","1,415","440","584","13,824","1,234","2,188","958","983","1,372","11,313"
"        Worked from home","1,169,122","18,459","44,198","8,013","2,087","1,754","3,744","2,396","2,286","20,730","50,876","4,937","192,625","3,533","49,327","84,815","159,568","9,956","10,213","26,914","6,934","21,722","4,556","6,218","114,743","9,091","20,404","19,644","2,083","21,048","8,841","2,737","78,931","5,198","9,758","13,498","3,363","3,838","75,450"
"        Mean travel time to work (minutes)","32.8","21.7","41.9","18.3","23.2","22.3","19.4","19.0","20.4","30.9","21.7","20.0","41.6","22.4","20.1","36.1","30.8","22.6","20.3","20.8","21.9","34.2","27.5","39.3","43.4","24.0","44.7","28.7","22.0","24.8","22.1","21.4","32.3","26.8","21.2","27.1","22.9","23.4","35.4"
"OCCUPATION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Civilian employed population 16 years and over","9,600,693","163,066","572,416","88,446","31,353","35,531","54,990","37,521","36,687","150,187","469,450","46,547","1,260,879","32,135","373,009","683,777","885,608","101,582","102,664","234,438","55,259","191,582","53,217","52,961","1,127,801","81,310","226,623","152,045","45,113","124,500","74,785","41,656","777,239","36,455","52,071","88,002","34,333","44,217","506,360"
"        Management, business, science, and arts occupations","4,433,988","83,024","156,247","37,664","11,061","12,862","19,491","14,427","13,067","68,616","210,505","16,503","625,289","14,247","178,619","346,770","591,123","39,111","40,324","113,771","25,119","77,853","18,082","26,545","448,640","39,190","98,057","74,235","16,460","65,321","34,636","16,280","340,848","13,274","30,608","39,790","14,690","17,168","272,751"
"        Service occupations","1,826,819","24,448","197,937","17,442","6,213","6,277","9,816","8,500","9,252","27,017","80,476","9,250","269,409","5,617","64,341","96,509","113,612","15,293","19,774","41,287","9,183","33,155","9,510","7,650","277,022","14,073","43,605","23,860","10,065","16,459","13,107","6,469","128,453","8,041","8,459","13,611","6,037","7,889","84,218"
"        Sales and office occupations","1,771,141","30,988","112,130","17,457","5,864","6,435","10,632","8,419","6,373","28,593","94,337","10,697","204,341","6,174","70,295","144,580","128,663","20,581","21,846","42,580","11,233","40,553","10,650","10,447","203,078","13,624","40,753","27,659","9,992","23,575","15,574","6,729","164,125","6,496","6,482","17,330","7,267","8,261","86,455"
"        Natural resources, construction, and maintenance occupations","635,567","8,052","34,962","4,663","3,162","4,116","5,018","2,352","3,094","11,232","29,631","4,189","62,564","2,518","22,672","43,545","14,046","8,863","7,350","11,875","5,544","16,837","6,417","5,132","84,457","5,693","17,382","13,204","4,152","8,494","3,547","4,584","65,768","3,662","3,485","8,719","2,711","3,898","32,388"
"        Production, transportation, and material moving occupations","933,178","16,554","71,140","11,220","5,053","5,841","10,033","3,823","4,901","14,729","54,501","5,908","99,276","3,579","37,082","52,373","38,164","17,734","13,370","24,925","4,180","23,184","8,558","3,187","114,604","8,730","26,826","13,087","4,444","10,651","7,921","7,594","78,045","4,982","3,037","8,552","3,628","7,001","30,548"
"INDUSTRY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Civilian employed population 16 years and over","9,600,693","163,066","572,416","88,446","31,353","35,531","54,990","37,521","36,687","150,187","469,450","46,547","1,260,879","32,135","373,009","683,777","885,608","101,582","102,664","234,438","55,259","191,582","53,217","52,961","1,127,801","81,310","226,623","152,045","45,113","124,500","74,785","41,656","777,239","36,455","52,071","88,002","34,333","44,217","506,360"
"        Agriculture, forestry, fishing and hunting, and mining","47,979","376","683","423","768","1,181","1,486","245","502","1,183","1,720","918","2,009","986","1,139","1,520","468","479","578","1,807","1,322","1,150","696","228","1,367","318","259","229","898","386","410","884","2,508","159","347","2,411","432","1,788","1,191"
"        Construction","539,292","6,107","30,900","4,454","2,135","2,713","2,496","2,002","2,417","9,690","24,246","3,228","54,871","1,856","16,262","41,008","13,661","7,082","4,861","11,688","2,630","12,807","4,206","5,531","77,718","5,559","14,614","10,987","2,236","7,479","3,041","3,013","60,908","2,197","877","6,630","2,242","2,611","32,866"
"        Manufacturing","565,332","9,137","17,522","9,556","3,478","5,585","7,692","4,933","4,246","9,707","48,633","4,274","37,288","3,165","40,184","27,141","26,978","15,159","9,832","20,809","5,770","12,980","6,066","1,759","33,531","7,172","7,077","7,184","2,488","13,750","6,155","8,542","51,134","2,620","2,646","4,760","2,595","7,579","19,573"
"        Wholesale trade","164,029","2,755","7,898","1,993","405","664","257","325","193","3,253","9,286","829","17,770","499","7,027","14,430","12,451","1,718","1,113","4,144","1,650","4,633","1,382","815","16,030","1,909","3,822","2,829","601","2,902","1,493","444","17,015","895","840","1,865","431","880","9,188"
"        Retail trade","896,941","15,232","54,977","10,128","4,562","3,053","5,895","4,026","3,380","14,165","47,138","5,970","99,612","3,067","38,214","65,353","59,581","11,071","12,808","24,534","6,547","27,128","5,787","5,152","99,381","7,057","19,748","13,511","4,774","11,814","7,612","4,251","78,814","3,590","3,233","9,501","3,749","4,824","41,909"
"        Transportation and warehousing, and utilities","557,501","8,664","55,881","4,218","1,227","1,429","2,810","1,659","1,908","7,490","25,620","2,085","76,709","1,262","15,896","38,877","27,093","5,751","5,058","13,590","1,843","12,205","4,590","1,569","95,258","3,842","14,929","8,556","3,538","4,544","3,497","937","47,217","2,792","1,035","3,915","1,669","2,198","24,035"
"        Information","261,520","2,924","7,616","1,145","463","590","310","576","379","4,513","6,240","789","59,664","546","7,227","18,203","52,225","1,702","1,609","3,958","894","4,145","824","1,698","28,844","1,200","4,273","3,026","1,027","3,508","1,162","243","15,240","953","1,045","2,605","588","409","13,365"
"        Finance and insurance, and real estate and rental and leasing","767,316","10,321","31,973","4,011","1,204","1,605","1,980","1,468","703","9,341","39,140","2,369","96,463","1,910","19,985","70,847","138,750","6,326","8,417","13,164","3,072","10,602","3,186","2,387","90,264","3,839","21,572","10,909","1,425","12,109","6,470","1,409","55,888","1,706","1,552","3,985","1,881","2,395","50,632"
"        Professional, scientific, and management, and administrative and waste management services","1,300,240","18,462","57,770","7,957","2,174","2,484","4,519","2,792","2,074","17,151","49,546","3,702","215,739","3,059","46,918","97,375","204,808","10,552","9,769","26,250","6,299","20,676","4,310","7,810","146,110","9,816","28,641","19,858","2,471","15,657","9,290","3,055","98,255","3,408","7,598","9,906","4,108","4,890","74,359"
"        Educational services, and health care and social assistance","2,780,251","47,045","195,960","27,989","9,037","9,742","17,009","11,707","12,005","47,022","136,317","13,045","366,958","9,660","121,433","202,185","216,298","24,186","24,978","79,703","14,161","51,421","12,569","17,184","309,541","19,877","70,736","50,763","15,674","30,624","19,783","10,676","222,591","10,573","24,489","25,574","8,701","11,464","156,915"
"        Arts, entertainment, and recreation, and accommodation and food services","812,191","12,982","60,025","8,322","3,157","2,525","5,133","3,504","3,719","10,696","39,517","4,602","119,155","3,330","30,008","49,706","70,482","7,139","9,624","17,727","4,886","14,574","4,283","4,358","115,520","6,415","16,646","10,294","4,542","8,972","4,669","4,120","55,063","3,519","4,792","8,918","3,852","2,815","38,099"
"        Other services, except public administration","458,628","7,995","29,667","4,246","1,300","1,789","2,468","1,737","2,067","7,209","20,642","1,477","64,918","944","16,016","24,923","37,546","5,229","5,497","9,110","2,632","9,053","2,554","2,196","68,629","4,226","10,796","7,803","2,214","5,035","3,807","1,953","36,055","1,464","1,946","4,511","1,866","1,140","22,748"
"        Public administration","449,473","21,066","21,544","4,004","1,443","2,171","2,935","2,547","3,094","8,767","21,405","3,259","49,723","1,851","12,700","32,209","25,267","5,188","8,520","7,954","3,553","10,208","2,764","2,274","45,608","10,080","13,510","6,096","3,225","7,720","7,396","2,129","36,551","2,579","1,671","3,421","2,219","1,224","21,480"
"CLASS OF WORKER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Civilian employed population 16 years and over","9,600,693","163,066","572,416","88,446","31,353","35,531","54,990","37,521","36,687","150,187","469,450","46,547","1,260,879","32,135","373,009","683,777","885,608","101,582","102,664","234,438","55,259","191,582","53,217","52,961","1,127,801","81,310","226,623","152,045","45,113","124,500","74,785","41,656","777,239","36,455","52,071","88,002","34,333","44,217","506,360"
"        Private wage and salary workers","7,501,645","115,218","455,303","65,816","22,200","26,613","40,166","27,919","26,108","117,060","372,786","33,547","1,013,392","23,450","303,475","530,121","746,703","80,377","76,193","179,253","42,569","149,495","39,349","40,182","902,866","58,437","167,991","114,056","31,565","96,086","55,997","31,450","592,416","26,765","36,537","64,462","26,146","36,566","392,480"
"        Government workers","1,543,475","41,785","83,876","18,539","6,635","6,866","10,864","8,006","8,669","25,724","76,572","10,470","167,198","6,858","51,868","121,279","75,324","16,409","21,948","42,412","9,823","34,057","9,691","9,027","155,318","18,979","49,422","25,286","11,131","21,418","16,618","7,805","147,861","7,711","12,427","15,326","5,714","5,929","80,934"
"        Self-employed in own not incorporated business workers","536,965","5,825","31,412","4,020","2,436","2,030","3,704","1,528","1,910","6,997","19,077","2,484","78,092","1,803","16,471","31,587","60,743","4,399","4,474","12,490","2,867","8,030","4,177","3,687","66,767","3,793","9,039","12,540","2,329","6,905","2,094","2,385","35,794","1,924","3,044","8,083","2,448","1,722","32,434"
"        Unpaid family workers","18,608","238","1,825","71","82","22","256","68","0","406","1,015","46","2,197","24","1,195","790","2,838","397","49","283","0","0","0","65","2,850","101","171","163","88","91","76","16","1,168","55","63","131","25","0","512"
"INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total households","7,809,267","134,971","537,953","80,001","32,376","32,786","54,284","35,591","34,639","115,529","410,430","50,542","1,035,549","26,755","317,369","458,162","787,747","91,894","96,767","198,699","48,610","138,856","48,010","36,405","863,975","66,583","169,526","104,325","42,945","103,758","68,172","38,764","508,809","30,971","43,054","73,895","31,013","39,094","374,012"
"        Less than $10,000","496,122","8,112","72,966","5,933","2,399","1,606","3,210","2,464","1,216","3,546","27,023","2,391","78,973","1,462","18,413","11,614","60,225","5,447","5,756","12,944","1,672","5,291","2,337","1,088","53,687","2,207","13,250","4,678","3,609","3,615","4,220","2,318","16,813","1,817","3,563","2,731","1,333","2,263","18,848"
"        $10,000 to $14,999","311,903","4,345","41,249","3,312","2,161","862","2,893","2,055","1,341","2,640","18,264","1,561","55,416","707","12,309","9,719","39,773","4,024","5,413","6,955","1,350","3,289","2,135","1,064","31,002","1,545","3,938","1,792","2,293","1,774","1,864","1,930","7,844","1,812","1,736","2,454","709","1,025","9,806"
"        $15,000 to $24,999","497,203","6,250","56,604","6,652","3,195","2,056","5,494","3,709","3,702","4,986","27,412","3,142","71,940","1,689","21,112","13,944","47,497","7,135","8,393","12,228","2,237","6,797","3,054","1,538","53,344","4,292","10,048","6,469","5,486","4,420","4,229","3,320","19,730","2,741","2,780","4,369","2,070","2,603","17,418"
"        $25,000 to $34,999","502,273","8,521","47,728","5,957","3,411","3,236","4,979","2,089","2,454","6,240","31,339","5,094","67,165","1,912","21,622","14,829","42,459","6,667","8,857","13,599","3,008","8,170","3,863","1,300","58,479","6,179","9,570","5,811","3,826","5,266","5,649","3,644","21,389","1,955","3,562","3,631","3,151","3,726","16,189"
"        $35,000 to $49,999","717,495","14,558","62,657","10,324","4,228","4,815","7,950","4,465","4,683","10,042","45,567","7,800","95,843","2,892","35,190","23,910","48,770","12,499","10,914","18,906","5,639","10,046","6,531","2,467","80,195","5,033","15,343","6,791","3,845","8,517","5,763","3,877","31,571","3,258","5,893","8,895","3,082","3,878","25,740"
"        $50,000 to $74,999","1,098,818","20,971","88,836","13,388","5,706","6,069","9,152","6,282","6,649","15,502","67,624","9,608","139,476","4,846","53,035","42,276","82,992","14,932","16,187","34,980","9,526","21,226","7,769","3,067","124,894","9,814","17,478","12,941","6,993","18,935","12,381","7,033","53,970","4,517","5,493","10,137","5,521","6,487","39,976"
"        $75,000 to $99,999","899,006","19,437","55,527","10,711","3,906","4,726","8,221","4,008","3,949","17,216","51,864","6,838","112,041","3,804","41,234","42,415","68,309","15,049","12,296","25,021","7,146","18,751","5,469","4,285","104,484","10,919","17,599","10,876","5,197","13,045","9,562","5,355","52,430","3,493","5,181","10,268","3,907","6,268","35,949"
"        $100,000 to $149,999","1,283,428","24,743","58,439","13,257","4,778","5,470","7,619","6,279","6,209","21,145","71,858","8,431","153,992","4,600","57,143","83,024","98,515","12,784","16,340","34,842","8,811","26,729","10,504","7,191","153,816","11,714","32,517","18,299","7,140","21,044","11,448","6,181","100,871","6,273","6,203","15,263","5,960","7,879","59,596"
"        $150,000 to $199,999","761,586","14,585","27,952","5,475","1,919","2,333","2,675","2,530","2,620","14,939","33,549","3,361","93,854","2,591","29,938","67,617","68,826","7,022","7,851","19,196","4,593","18,441","3,323","6,012","89,465","7,223","20,906","12,560","2,517","10,765","6,161","2,804","76,120","2,125","4,197","6,563","2,886","2,836","39,859"
"        $200,000 or more","1,241,433","13,449","25,995","4,992","673","1,613","2,091","1,710","1,816","19,273","35,930","2,316","166,849","2,252","27,373","148,814","230,381","6,335","4,760","20,028","4,628","20,116","3,025","8,393","114,609","7,657","28,877","24,108","2,039","16,377","6,895","2,302","128,071","2,980","4,446","9,584","2,394","2,129","110,631"
"        Median household income (dollars)","82,095","81,335","46,838","63,876","54,250","66,166","55,234","59,617","62,717","96,824","70,492","61,512","76,912","74,125","73,211","141,568","101,078","65,875","61,118","74,704","79,450","94,364","70,076","122,777","81,929","84,278","95,543","106,589","56,872","94,330","74,969","64,238","124,045","69,453","67,247","85,878","73,802","73,065","114,457"
"        Mean household income (dollars)","122,227","103,990","67,778","87,249","66,404","81,340","71,821","80,857","91,067","127,264","93,267","82,092","119,171","93,778","95,702","181,795","188,118","85,034","79,925","101,431","104,617","120,107","86,561","147,204","110,305","103,667","118,855","141,916","74,307","123,673","96,625","84,035","154,546","103,873","101,522","115,399","94,235","86,031","181,846"
"        With earnings","6,007,622","103,342","392,429","57,809","21,530","24,178","38,428","25,800","24,929","89,905","301,934","39,261","825,485","19,072","239,725","368,480","612,854","65,850","67,932","150,171","35,102","114,442","34,367","29,209","691,310","50,526","130,164","86,297","28,380","79,157","49,821","27,019","402,126","22,374","32,640","55,841","22,606","28,241","300,647"
"            Mean earnings (dollars)","129,057","103,553","75,711","89,674","69,393","83,380","71,188","80,071","96,040","124,808","98,715","83,023","130,874","96,899","98,332","181,104","205,214","91,573","83,851","105,418","106,029","118,128","89,796","149,025","116,755","105,243","126,021","138,406","79,141","124,514","101,039","87,118","153,644","112,177","97,586","115,319","95,224","89,509","187,677"
"        With Social Security","2,511,090","41,061","145,569","28,917","13,423","12,399","20,284","13,666","12,421","40,952","143,670","14,807","266,634","10,235","106,839","168,659","202,627","34,885","35,964","65,504","19,727","42,580","18,035","13,159","268,312","23,040","56,712","33,735","17,652","36,416","22,311","14,353","191,437","11,086","12,750","27,104","11,894","15,116","118,513"
"            Mean Social Security income (dollars)","23,058","26,374","16,308","23,361","21,411","21,504","23,250","23,264","23,555","27,394","23,020","21,178","19,188","24,696","24,420","27,614","22,498","22,758","21,643","24,424","25,521","25,916","23,111","28,511","20,698","23,522","24,177","25,931","21,260","26,101","22,913","23,379","25,855","23,098","24,362","25,576","23,999","24,849","26,257"
"        With retirement income","1,945,692","39,571","90,124","24,880","9,448","9,868","18,045","10,335","10,634","35,026","117,992","12,268","168,717","8,386","90,369","144,947","140,345","27,742","30,677","54,369","16,121","41,250","15,434","11,613","178,056","21,016","44,668","30,219","14,810","33,224","19,519","13,419","159,200","9,339","9,710","22,980","8,918","11,837","94,802"
"            Mean retirement income (dollars)","33,834","39,376","24,680","27,893","24,712","25,498","22,916","28,381","25,615","39,319","27,263","29,475","28,816","32,794","27,717","44,037","46,385","24,910","26,085","31,684","31,509","34,796","29,200","36,793","29,707","31,800","38,139","43,035","27,195","41,554","38,088","29,183","40,647","29,764","36,679","36,855","30,139","27,219","40,988"
"        With Supplemental Security Income","490,034","5,606","65,923","5,679","2,397","1,510","2,997","2,333","2,624","5,886","24,964","2,193","80,108","1,416","20,391","20,470","42,598","5,326","6,491","11,599","2,413","6,594","3,086","709","55,759","3,025","10,671","4,660","3,324","3,897","4,931","2,761","26,121","1,598","1,982","3,227","1,107","3,496","13,131"
"            Mean Supplemental Security Income (dollars)","10,191","10,683","9,317","10,746","10,328","13,035","12,863","10,182","12,411","10,933","10,195","9,471","9,752","13,484","10,992","10,427","9,998","9,673","10,288","11,179","10,848","11,962","12,084","9,856","9,134","12,584","9,979","12,208","9,964","11,967","11,533","10,145","12,043","10,962","12,521","11,280","7,093","9,394","9,308"
"        With cash public assistance income","301,068","2,842","56,732","2,526","1,404","1,369","1,711","1,128","928","2,372","12,378","1,673","50,325","582","11,697","7,721","28,151","2,258","3,054","6,532","1,410","3,348","2,135","237","40,665","1,344","6,635","1,481","2,345","1,544","1,525","776","12,599","604","921","1,656","631","1,695","10,013"
"            Mean cash public assistance income (dollars)","3,704","4,331","3,172","4,443","2,195","2,839","5,186","3,011","3,542","2,951","3,206","3,094","4,099","2,720","3,087","4,897","4,276","2,458","3,753","2,955","2,026","3,027","2,999","6,447","4,173","2,659","4,101","6,628","3,055","2,783","4,004","3,933","4,109","2,385","2,503","N","N","2,561","3,391"
"        With Food Stamp/SNAP benefits in the past 12 months","1,267,132","14,385","211,848","11,823","5,947","4,075","10,555","5,242","6,194","10,528","67,961","7,882","238,595","3,178","50,723","26,162","117,016","13,650","17,325","28,415","3,737","18,269","7,286","963","152,810","5,712","24,239","11,697","7,752","6,313","10,194","5,291","43,277","5,524","3,625","6,675","2,595","5,291","35,051"
"    Families","4,751,812","69,687","326,210","45,942","18,812","21,191","33,208","21,488","21,062","73,709","235,561","32,388","593,995","16,353","183,446","352,049","321,670","55,001","56,453","113,866","29,742","100,225","30,012","26,250","571,112","39,747","121,813","78,582","23,873","63,943","40,349","24,062","361,845","19,355","19,736","42,958","18,121","24,593","249,062"
"        Less than $10,000","180,462","2,073","29,430","2,156","853","657","1,430","1,038","327","908","8,022","709","32,662","384","6,408","3,894","15,500","2,383","1,355","4,229","190","2,445","1,207","309","20,785","694","6,349","2,272","1,125","1,264","2,052","942","5,712","739","958","1,222","287","766","6,274"
"        $10,000 to $14,999","94,026","738","12,476","760","345","317","639","526","538","1,109","4,962","814","16,798","246","2,860","3,641","11,310","752","1,708","1,854","723","1,347","428","682","12,026","623","1,324","641","490","1,000","594","483","2,773","131","365","567","165","368","1,445"
"        $15,000 to $24,999","213,142","2,094","31,741","2,160","1,338","952","2,366","1,979","812","981","9,060","1,359","38,669","552","7,153","6,652","15,841","2,283","3,568","4,337","784","3,008","1,364","580","27,783","1,911","4,522","4,263","2,263","794","1,911","924","7,117","1,011","55","887","749","900","8,339"
"        $25,000 to $34,999","242,043","2,767","30,007","2,192","1,486","1,943","2,489","946","1,174","2,397","11,362","2,397","39,638","930","6,898","6,189","18,288","2,294","3,675","5,752","939","4,043","2,280","804","36,260","2,071","4,853","3,148","1,786","1,947","2,418","1,477","11,226","838","413","889","1,405","1,144","5,744"
