"        Public administration","442,193","4.6%","18,503","3.3%","50,379","4.0%","24,546","2.8%","50,169","4.4%","12,807","5.5%"
"CLASS OF WORKER","","","","","","","","","","","",""
"    Civilian employed population 16 years and over","9,600,338","9,600,338","563,384","563,384","1,245,689","1,245,689","871,878","871,878","1,133,349","1,133,349","230,991","230,991"
"        Private wage and salary workers","7,472,834","77.8%","441,714","78.4%","989,055","79.4%","732,331","84.0%","894,647","78.9%","172,276","74.6%"
"        Government workers","1,549,601","16.1%","88,694","15.7%","175,891","14.1%","76,388","8.8%","161,546","14.3%","48,294","20.9%"
"        Self-employed in own not incorporated business workers","562,168","5.9%","31,993","5.7%","78,968","6.3%","62,436","7.2%","74,242","6.6%","10,148","4.4%"
"        Unpaid family workers","15,735","0.2%","983","0.2%","1,775","0.1%","723","0.1%","2,914","0.3%","273","0.1%"
"INCOME AND BENEFITS (IN 2022 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Total households","7,774,308","7,774,308","533,035","533,035","1,026,361","1,026,361","803,844","803,844","839,853","839,853","169,946","169,946"
"        Less than $10,000","527,598","6.8%","76,792","14.4%","83,259","8.1%","73,202","9.1%","49,792","5.9%","10,330","6.1%"
"        $10,000 to $14,999","321,607","4.1%","43,916","8.2%","53,127","5.2%","42,428","5.3%","30,784","3.7%","5,051","3.0%"
"        $15,000 to $24,999","521,028","6.7%","51,590","9.7%","77,377","7.5%","48,779","6.1%","52,818","6.3%","9,682","5.7%"
"        $25,000 to $34,999","505,906","6.5%","46,764","8.8%","70,191","6.8%","36,386","4.5%","56,931","6.8%","10,704","6.3%"
"        $35,000 to $49,999","721,230","9.3%","63,926","12.0%","93,910","9.1%","57,290","7.1%","71,704","8.5%","12,837","7.6%"
"        $50,000 to $74,999","1,111,550","14.3%","82,547","15.5%","140,360","13.7%","82,979","10.3%","134,737","16.0%","21,285","12.5%"
"        $75,000 to $99,999","899,824","11.6%","56,280","10.6%","119,627","11.7%","71,218","8.9%","100,847","12.0%","19,655","11.6%"
"        $100,000 to $149,999","1,276,245","16.4%","58,845","11.0%","152,556","14.9%","105,975","13.2%","153,672","18.3%","33,066","19.5%"
"        $150,000 to $199,999","727,051","9.4%","29,458","5.5%","85,293","8.3%","70,733","8.8%","88,528","10.5%","18,850","11.1%"
"        $200,000 or more","1,162,269","15.0%","22,917","4.3%","150,661","14.7%","214,854","26.7%","100,040","11.9%","28,486","16.8%"
"        Median household income (dollars)","79,557","(X)","45,517","(X)","73,951","(X)","95,866","(X)","80,557","(X)","93,164","(X)"
"        Mean household income (dollars)","119,130","(X)","66,878","(X)","115,625","(X)","175,743","(X)","106,667","(X)","119,550","(X)"
"        With earnings","5,960,048","76.7%","382,200","71.7%","809,823","78.9%","622,393","77.4%","679,561","80.9%","131,285","77.3%"
"            Mean earnings (dollars)","125,193","(X)","75,226","(X)","126,398","(X)","188,095","(X)","110,080","(X)","125,849","(X)"
"        With Social Security","2,484,438","32.0%","150,728","28.3%","262,640","25.6%","199,901","24.9%","248,199","29.6%","58,789","34.6%"
"            Mean Social Security income (dollars)","22,138","(X)","16,211","(X)","18,702","(X)","22,016","(X)","20,204","(X)","23,601","(X)"
"        With retirement income","1,903,020","24.5%","89,655","16.8%","173,409","16.9%","136,425","17.0%","164,787","19.6%","46,354","27.3%"
"            Mean retirement income (dollars)","33,890","(X)","24,055","(X)","28,391","(X)","42,152","(X)","31,090","(X)","34,481","(X)"
"        With Supplemental Security Income","471,067","6.1%","59,911","11.2%","81,151","7.9%","44,607","5.5%","48,797","5.8%","8,981","5.3%"
"            Mean Supplemental Security Income (dollars)","10,252","(X)","9,581","(X)","9,673","(X)","9,074","(X)","10,373","(X)","10,930","(X)"
"        With cash public assistance income","313,297","4.0%","51,471","9.7%","59,425","5.8%","40,933","5.1%","38,925","4.6%","6,744","4.0%"
"            Mean cash public assistance income (dollars)","3,900","(X)","3,595","(X)","3,963","(X)","3,949","(X)","4,431","(X)","3,876","(X)"
"        With Food Stamp/SNAP benefits in the past 12 months","1,264,498","16.3%","210,798","39.5%","237,085","23.1%","133,823","16.6%","138,473","16.5%","25,839","15.2%"
"    Families","4,738,232","4,738,232","329,608","329,608","584,460","584,460","322,646","322,646","556,133","556,133","124,667","124,667"
"        Less than $10,000","197,409","4.2%","34,188","10.4%","34,396","5.9%","18,762","5.8%","20,247","3.6%","4,724","3.8%"
"        $10,000 to $14,999","102,869","2.2%","16,403","5.0%","17,213","2.9%","10,212","3.2%","12,309","2.2%","1,999","1.6%"
"        $15,000 to $24,999","224,726","4.7%","29,620","9.0%","39,860","6.8%","14,935","4.6%","29,781","5.4%","4,832","3.9%"
"        $25,000 to $34,999","247,643","5.2%","30,057","9.1%","38,810","6.6%","16,490","5.1%","36,701","6.6%","5,220","4.2%"
"        $35,000 to $49,999","389,710","8.2%","42,222","12.8%","54,400","9.3%","20,168","6.3%","48,694","8.8%","8,480","6.8%"
"        $50,000 to $74,999","643,944","13.6%","56,362","17.1%","83,427","14.3%","28,050","8.7%","87,285","15.7%","15,038","12.1%"
"        $75,000 to $99,999","583,110","12.3%","37,293","11.3%","72,036","12.3%","25,113","7.8%","71,064","12.8%","14,986","12.0%"
"        $100,000 to $149,999","901,173","19.0%","42,393","12.9%","91,869","15.7%","38,088","11.8%","106,036","19.1%","27,214","21.8%"
"        $150,000 to $199,999","551,650","11.6%","23,740","7.2%","53,121","9.1%","27,931","8.7%","67,947","12.2%","17,084","13.7%"
"        $200,000 or more","895,998","18.9%","17,330","5.3%","99,328","17.0%","122,897","38.1%","76,069","13.7%","25,090","20.1%"
"        Median family income (dollars)","99,066","(X)","54,583","(X)","82,936","(X)","133,880","(X)","89,732","(X)","110,820","(X)"
"        Mean family income (dollars)","141,334","(X)","75,943","(X)","131,096","(X)","251,514","(X)","116,575","(X)","137,058","(X)"
"    Per capita income (dollars)","47,421","(X)","25,359","(X)","45,309","(X)","89,008","(X)","39,029","(X)","41,738","(X)"
"    Nonfamily households","3,036,076","3,036,076","203,427","203,427","441,901","441,901","481,198","481,198","283,720","283,720","45,279","45,279"
"        Median nonfamily income (dollars)","50,181","(X)","27,038","(X)","56,244","(X)","78,193","(X)","57,749","(X)","44,540","(X)"
"        Mean nonfamily income (dollars)","78,600","(X)","45,071","(X)","88,830","(X)","123,291","(X)","78,159","(X)","62,115","(X)"
"    Median earnings for workers (dollars)","47,414","(X)","35,487","(X)","49,438","(X)","72,232","(X)","44,789","(X)","51,991","(X)"
"    Median earnings for male full-time, year-round workers (dollars)","69,350","(X)","50,304","(X)","71,220","(X)","109,744","(X)","60,200","(X)","72,000","(X)"
"    Median earnings for female full-time, year-round workers (dollars)","60,899","(X)","45,484","(X)","63,854","(X)","90,249","(X)","58,475","(X)","64,457","(X)"
"HEALTH INSURANCE COVERAGE","","","","","","","","","","","",""
"    Civilian noninstitutionalized population","19,475,046","19,475,046","1,365,859","1,365,859","2,576,420","2,576,420","1,588,559","1,588,559","2,264,737","2,264,737","487,065","487,065"
"        With health insurance coverage","18,530,250","95.1%","1,278,026","93.6%","2,434,828","94.5%","1,528,922","96.2%","2,090,161","92.3%","467,388","96.0%"
"            With private health insurance","12,743,806","65.4%","599,394","43.9%","1,424,750","55.3%","1,111,097","69.9%","1,313,605","58.0%","325,188","66.8%"
"            With public coverage","8,355,947","42.9%","845,794","61.9%","1,254,174","48.7%","583,211","36.7%","1,044,850","46.1%","195,431","40.1%"
"        No health insurance coverage","944,796","4.9%","87,833","6.4%","141,592","5.5%","59,637","3.8%","174,576","7.7%","19,677","4.0%"
"    Civilian noninstitutionalized population under 19 years","4,233,691","4,233,691","352,717","352,717","599,413","599,413","239,720","239,720","464,658","464,658","110,374","110,374"
"        No health insurance coverage","110,732","2.6%","9,702","2.8%","12,057","2.0%","2,054","0.9%","13,443","2.9%","1,178","1.1%"
"    Civilian noninstitutionalized population 19 to 64 years","11,767,983","11,767,983","821,794","821,794","1,579,767","1,579,767","1,060,460","1,060,460","1,399,494","1,399,494","293,785","293,785"
"        In labor force:","9,222,014","9,222,014","579,768","579,768","1,249,540","1,249,540","841,507","841,507","1,110,069","1,110,069","225,211","225,211"
"            Employed:","8,762,538","8,762,538","525,335","525,335","1,166,246","1,166,246","793,656","793,656","1,052,117","1,052,117","215,798","215,798"
"                With health insurance coverage","8,232,372","93.9%","481,366","91.6%","1,083,144","92.9%","759,909","95.7%","942,983","89.6%","203,505","94.3%"
"                    With private health insurance","6,892,037","78.7%","319,844","60.9%","849,121","72.8%","678,683","85.5%","732,340","69.6%","172,468","79.9%"
"                    With public coverage","1,618,789","18.5%","197,689","37.6%","267,344","22.9%","95,532","12.0%","251,296","23.9%","36,186","16.8%"
"                No health insurance coverage","530,166","6.1%","43,969","8.4%","83,102","7.1%","33,747","4.3%","109,134","10.4%","12,293","5.7%"
"            Unemployed:","459,476","459,476","54,433","54,433","83,294","83,294","47,851","47,851","57,952","57,952","9,413","9,413"
"                With health insurance coverage","399,733","87.0%","47,471","87.2%","70,255","84.3%","42,847","89.5%","50,484","87.1%","7,861","83.5%"
"                    With private health insurance","179,836","39.1%","13,756","25.3%","27,507","33.0%","19,519","40.8%","20,536","35.4%","3,111","33.1%"
"                    With public coverage","240,729","52.4%","38,230","70.2%","45,545","54.7%","25,602","53.5%","31,521","54.4%","5,119","54.4%"
"                No health insurance coverage","59,743","13.0%","6,962","12.8%","13,039","15.7%","5,004","10.5%","7,468","12.9%","1,552","16.5%"
"        Not in labor force:","2,545,969","2,545,969","242,026","242,026","330,227","330,227","218,953","218,953","289,425","289,425","68,574","68,574"
"            With health insurance coverage","2,332,221","91.6%","219,854","90.8%","301,805","91.4%","202,327","92.4%","252,576","87.3%","64,057","93.4%"
"                With private health insurance","1,234,231","48.5%","69,519","28.7%","123,429","37.4%","114,819","52.4%","125,583","43.4%","36,656","53.5%"
"                With public coverage","1,303,891","51.2%","174,995","72.3%","204,333","61.9%","100,653","46.0%","148,982","51.5%","31,207","45.5%"
"            No health insurance coverage","213,748","8.4%","22,172","9.2%","28,422","8.6%","16,626","7.6%","36,849","12.7%","4,517","6.6%"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","","","","","","","","","","","",""
"    All families","(X)","10.3%","(X)","22.9%","(X)","15.5%","(X)","12.8%","(X)","10.5%","(X)","8.5%"
"        With related children of the householder under 18 years","(X)","15.7%","(X)","31.4%","(X)","21.5%","(X)","18.3%","(X)","14.4%","(X)","10.4%"
"            With related children of the householder under 5 years only","(X)","12.1%","(X)","25.6%","(X)","11.6%","(X)","11.8%","(X)","12.3%","(X)","7.7%"
"        Married couple families","(X)","5.6%","(X)","11.2%","(X)","11.4%","(X)","5.4%","(X)","7.9%","(X)","6.1%"
"            With related children of the householder under 18 years","(X)","7.0%","(X)","11.6%","(X)","14.9%","(X)","4.7%","(X)","8.8%","(X)","7.0%"
"                With related children of the householder under 5 years only","(X)","4.4%","(X)","8.0%","(X)","7.4%","(X)","1.1%","(X)","6.2%","(X)","7.4%"
"        Families with female householder, no spouse present","(X)","23.6%","(X)","34.0%","(X)","24.9%","(X)","26.8%","(X)","17.4%","(X)","16.5%"
"            With related children of the householder under 18 years","(X)","33.9%","(X)","44.0%","(X)","34.3%","(X)","38.2%","(X)","27.8%","(X)","23.6%"
"                With related children of the householder under 5 years only","(X)","30.7%","(X)","39.7%","(X)","26.7%","(X)","33.8%","(X)","29.1%","(X)","10.4%"
"    All people","(X)","14.3%","(X)","27.7%","(X)","19.8%","(X)","17.3%","(X)","13.0%","(X)","11.0%"
"        Under 18 years","(X)","18.8%","(X)","35.6%","(X)","27.7%","(X)","21.6%","(X)","16.0%","(X)","14.1%"
"            Related children of the householder under 18 years","(X)","18.5%","(X)","35.4%","(X)","27.3%","(X)","21.3%","(X)","15.7%","(X)","13.5%"
"                Related children of the householder under 5 years","(X)","18.5%","(X)","36.1%","(X)","24.4%","(X)","13.7%","(X)","14.5%","(X)","13.6%"
"                Related children of the householder 5 to 17 years","(X)","18.5%","(X)","35.1%","(X)","28.6%","(X)","24.5%","(X)","16.1%","(X)","13.5%"
"        18 years and over","(X)","13.1%","(X)","25.1%","(X)","17.6%","(X)","16.6%","(X)","12.4%","(X)","10.2%"
"            18 to 64 years","(X)","13.1%","(X)","24.7%","(X)","16.8%","(X)","15.9%","(X)","11.3%","(X)","9.6%"
"            65 years and over","(X)","13.2%","(X)","27.1%","(X)","21.0%","(X)","19.1%","(X)","16.0%","(X)","12.3%"
"        People in families","(X)","11.0%","(X)","23.6%","(X)","17.6%","(X)","13.8%","(X)","10.3%","(X)","8.6%"
"        Unrelated individuals 15 years and over","(X)","25.1%","(X)","42.1%","(X)","26.2%","(X)","22.4%","(X)","24.2%","(X)","26.5%"
