"        $100,000 to $149,999","1,102,158","45,273","129,725","113,312","123,108","29,837"
"        $150,000 to $199,999","555,089","16,813","67,086","63,941","62,044","19,616"
"        $200,000 or more","718,112","11,721","84,867","163,823","48,376","17,756"
"        Median household income (dollars)","64,894","37,397","56,942","85,071","64,509","79,201"
"        Mean household income (dollars)","97,116","55,423","87,312","151,745","84,628","100,248"
"    With earnings","5,650,357","374,245","742,073","604,752","622,162","124,970"
"        Mean earnings (dollars)","102,082","60,596","96,966","160,362","88,928","108,715"
"    With Social Security","2,278,786","136,523","241,216","188,889","214,093","55,719"
"        Mean Social Security income (dollars)","19,114","14,647","16,435","17,733","17,819","19,455"
"    With retirement income","1,348,655","60,463","112,268","80,619","116,505","33,417"
"        Mean retirement income (dollars)","28,782","24,444","26,517","39,106","24,254","32,457"
"    With Supplemental Security Income","455,791","61,398","79,189","46,986","43,262","9,271"
"        Mean Supplemental Security Income (dollars)","9,334","8,700","8,982","8,109","9,015","9,704"
"    With cash public assistance income","246,184","43,134","48,111","20,444","25,173","8,073"
"        Mean cash public assistance income (dollars)","3,516","3,400","3,561","3,796","3,210","3,510"
"    With Food Stamp/SNAP benefits in the past 12 months","1,083,022","189,476","215,133","106,363","97,777","18,385"
"    Families","4,620,008","334,103","580,618","336,417","514,666","123,956"
"        Less than $10,000","195,476","31,330","35,116","16,165","19,460","7,555"
"        $10,000 to $14,999","129,147","21,363","23,031","13,085","12,739","3,295"
"        $15,000 to $24,999","303,795","44,634","50,959","27,008","34,843","6,095"
"        $25,000 to $34,999","326,191","37,397","49,579","21,644","39,897","5,770"
"        $35,000 to $49,999","486,862","49,184","72,638","25,026","61,157","9,367"
"        $50,000 to $74,999","735,653","58,507","87,690","33,824","94,535","18,063"
"        $75,000 to $99,999","604,505","33,601","66,956","29,793","71,943","14,389"
"        $100,000 to $149,999","823,605","35,270","86,631","42,245","92,769","25,139"
"        $150,000 to $199,999","437,879","13,518","45,734","28,641","48,415","17,843"
"        $200,000 or more","576,895","9,299","62,284","98,986","38,908","16,440"
"        Median family income (dollars)","80,114","43,629","65,679","101,126","73,258","95,395"
"        Mean family income (dollars)","113,760","62,347","99,309","198,387","93,287","113,966"
"    Per capita income (dollars)","37,156","20,497","32,274","72,057","29,857","35,205"
"    Nonfamily households","2,684,324","169,882","375,605","427,801","254,592","42,034"
"        Median nonfamily income (dollars)","40,350","21,457","39,231","71,861","43,952","37,301"
"        Mean nonfamily income (dollars)","63,810","35,955","63,985","112,713","59,205","54,046"
"    Median earnings for workers (dollars)","37,329","25,765","37,392","59,380","36,324","46,564"
"    Median earnings for male full-time, year-round workers (dollars)","55,636","37,454","51,577","85,415","47,354","64,069"
"    Median earnings for female full-time, year-round workers (dollars)","48,901","36,450","50,111","72,639","46,614","52,952"
"HEALTH INSURANCE COVERAGE","","","","","",""
"    Civilian noninstitutionalized population","19,608,066","1,449,818","2,634,931","1,653,585","2,343,840","475,080"
"        With health insurance coverage","18,495,124","1,330,519","2,452,085","1,570,232","2,131,973","457,317"
"            With private health insurance","13,123,578","670,068","1,469,510","1,131,649","1,383,845","340,013"
"            With public coverage","7,766,427","830,048","1,200,734","578,751","963,522","163,135"
"        No health insurance coverage","1,112,942","119,299","182,846","83,353","211,867","17,763"
"    Civilian noninstitutionalized population under 19 years","4,403,144","385,745","632,146","255,556","496,642","107,995"
"        No health insurance coverage","117,503","9,499","15,314","6,276","16,902","1,480"
"    Civilian noninstitutionalized population 19 to 64 years","12,138,390","891,677","1,654,087","1,137,380","1,502,501","293,866"
"        In labor force:","9,414,141","650,482","1,264,642","906,350","1,172,302","215,415"
"            Employed:","8,912,245","582,296","1,184,484","859,175","1,113,790","206,834"
"                With health insurance coverage","8,247,950","513,180","1,075,318","808,643","977,396","198,583"
"                    With private health insurance","7,063,182","355,440","850,999","712,682","794,676","179,083"
"                    With public coverage","1,419,405","191,607","256,302","107,440","215,133","23,499"
"                No health insurance coverage","664,295","69,116","109,166","50,532","136,394","8,251"
"            Unemployed:","501,896","68,186","80,158","47,175","58,512","8,581"
"                With health insurance coverage","423,887","57,628","67,043","41,970","46,805","7,611"
"                    With private health insurance","196,514","19,284","26,729","20,456","21,314","4,054"
"                    With public coverage","248,668","43,495","43,029","23,520","27,402","3,815"
"                No health insurance coverage","78,009","10,558","13,115","5,205","11,707","970"
"        Not in labor force:","2,724,249","241,195","389,445","231,030","330,199","78,451"
"            With health insurance coverage","2,492,977","213,509","349,256","211,690","288,573","71,918"
"                With private health insurance","1,361,917","69,975","145,817","118,368","149,875","43,765"
"                With public coverage","1,339,100","164,389","225,760","100,980","160,555","33,762"
"            No health insurance coverage","231,272","27,686","40,189","19,340","41,626","6,533"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","","","","","",""
"    All families","(X)","(X)","(X)","(X)","(X)","(X)"
"        With related children of the householder under 18 years","(X)","(X)","(X)","(X)","(X)","(X)"
"            With related children of the householder under 5 years only","(X)","(X)","(X)","(X)","(X)","(X)"
"    Married couple families","(X)","(X)","(X)","(X)","(X)","(X)"
"        With related children of the householder under 18 years","(X)","(X)","(X)","(X)","(X)","(X)"
"            With related children of the householder under 5 years only","(X)","(X)","(X)","(X)","(X)","(X)"
"    Families with female householder, no husband present","(X)","(X)","(X)","(X)","(X)","(X)"
"        With related children of the householder under 18 years","(X)","(X)","(X)","(X)","(X)","(X)"
"            With related children of the householder under 5 years only","(X)","(X)","(X)","(X)","(X)","(X)"
"    All people","(X)","(X)","(X)","(X)","(X)","(X)"
"        Under 18 years","(X)","(X)","(X)","(X)","(X)","(X)"
"            Related children of the householder under 18 years","(X)","(X)","(X)","(X)","(X)","(X)"
"                Related children of the householder under 5 years","(X)","(X)","(X)","(X)","(X)","(X)"
"                Related children of the householder 5 to 17 years","(X)","(X)","(X)","(X)","(X)","(X)"
"        18 years and over","(X)","(X)","(X)","(X)","(X)","(X)"
"            18 to 64 years","(X)","(X)","(X)","(X)","(X)","(X)"
"            65 years and over","(X)","(X)","(X)","(X)","(X)","(X)"
"    People in families","(X)","(X)","(X)","(X)","(X)","(X)"
"    Unrelated individuals 15 years and over","(X)","(X)","(X)","(X)","(X)","(X)"
