"    $100,000 to $149,999","966,812","32,185","100,257","91,391","103,831","31,930"
"    $150,000 to $199,999","395,091","9,307","37,648","50,360","38,920","14,951"
"    $200,000 or more","423,852","5,615","30,779","113,462","24,458","10,118"
"    Median household income (dollars)","54,148","32,568","42,143","63,832","53,054","70,560"
"    Mean household income (dollars)","78,726","45,625","62,678","119,199","68,601","86,105"
"    With earnings","5,591,225","345,182","697,353","577,310","626,375","125,706"
"        Mean earnings (dollars)","82,462","50,676","69,827","126,535","71,087","91,858"
"    With Social Security","2,040,776","112,935","203,554","161,296","202,347","46,283"
"        Mean Social Security income (dollars)","16,645","12,944","14,165","15,529","15,597","17,972"
"    With retirement income","1,234,743","53,443","86,786","74,540","105,957","31,702"
"        Mean retirement income (dollars)","23,592","18,951","19,985","26,385","20,932","30,259"
"    With Supplemental Security Income","444,781","62,479","80,835","43,858","40,591","8,538"
"        Mean Supplemental Security Income (dollars)","8,938","8,412","8,794","8,083","8,523","8,791"
"    With cash public assistance income","243,430","36,958","43,056","21,430","26,593","6,287"
"        Mean cash public assistance income (dollars)","4,107","3,164","4,300","4,349","4,560","4,479"
"    With Food Stamp/SNAP benefits in the past 12 months","997,131","170,365","200,647","91,022","107,984","16,636"
"    Families","4,632,676","314,618","580,453","305,679","527,729","124,237"
"    Less than $10,000","246,406","42,503","52,700","19,382","26,955","6,797"
"    $10,000 to $14,999","161,660","24,479","34,708","12,302","18,655","2,444"
"    $15,000 to $24,999","379,416","48,536","65,194","27,974","49,143","7,235"
"    $25,000 to $34,999","396,193","35,198","66,306","24,079","50,054","8,334"
"    $35,000 to $49,999","577,918","46,511","86,695","29,842","71,188","11,322"
"    $50,000 to $74,999","821,955","51,090","93,018","34,271","101,812","19,808"
"    $75,000 to $99,999","617,790","29,454","59,051","25,776","72,458","16,461"
"    $100,000 to $149,999","764,703","24,535","71,399","37,165","84,859","28,452"
"    $150,000 to $199,999","322,907","7,736","27,929","23,884","32,510","13,700"
"    $200,000 or more","343,728","4,576","23,453","71,004","20,095","9,684"
"    Median family income (dollars)","65,897","36,627","46,671","78,197","60,438","82,406"
"    Mean family income (dollars)","91,447","49,786","68,504","159,324","76,004","97,598"
"    Per capita income (dollars)","30,011","16,671","23,218","56,556","24,530","30,122"
"    Nonfamily households","2,563,751","157,294","324,864","420,411","244,603","39,579"
"    Median nonfamily income (dollars)","34,170","21,577","31,227","55,774","35,678","30,652"
"    Mean nonfamily income (dollars)","52,302","32,269","48,453","88,607","47,459","45,379"
"    Median earnings for workers (dollars)","32,088","24,305","31,252","46,528","31,307","42,308"
"    Median earnings for male full-time, year-round workers (dollars)","50,228","34,950","41,486","71,698","41,523","61,306"
"    Median earnings for female full-time, year-round workers (dollars)","41,570","34,385","39,305","60,533","41,106","51,107"
"HEALTH INSURANCE COVERAGE","","","","","",""
"    Civilian noninstitutionalized population","19,134,281","1,359,933","2,493,635","1,576,232","2,220,379","463,668"
"    With health insurance coverage","16,856,899","1,141,600","2,131,235","1,403,954","1,807,757","430,645"
"        With private health insurance","12,628,104","573,188","1,267,365","1,062,470","1,187,586","343,030"
"        With public coverage","6,305,010","674,516","1,028,772","480,635","802,436","130,596"
"    No health insurance coverage","2,277,382","218,333","362,400","172,278","412,622","33,023"
"    Civilian noninstitutionalized population under 18 years","4,301,661","367,504","592,210","234,247","461,008","108,703"
"    No health insurance coverage","208,461","16,525","28,877","8,278","25,571","2,523"
"    Civilian noninstitutionalized population 18 to 64 years","12,307,934","854,401","1,619,834","1,131,202","1,480,924","297,691"
"    In labor force:","9,355,048","598,786","1,179,710","871,281","1,129,826","211,004"
"        Employed:","8,449,631","505,274","1,052,196","791,534","1,006,705","191,752"
"            With health insurance coverage","7,198,932","386,102","857,101","691,049","768,803","177,866"
"                With private health insurance","6,531,907","299,659","704,204","641,570","647,787","166,234"
"                With public coverage","824,194","101,225","172,658","61,098","138,159","14,790"
"            No health insurance coverage","1,250,699","119,172","195,095","100,485","237,902","13,886"
"        Unemployed:","905,417","93,512","127,514","79,747","123,121","19,252"
"            With health insurance coverage","587,886","62,094","80,732","55,346","74,092","14,058"
"                With private health insurance","328,938","17,684","33,459","32,770","38,514","10,753"
"                With public coverage","286,322","48,527","51,585","25,380","38,945","3,852"
"            No health insurance coverage","317,531","31,418","46,782","24,401","49,029","5,194"
"    Not in labor force:","2,952,886","255,615","440,124","259,921","351,098","86,687"
"        With health insurance coverage","2,479,611","207,961","354,406","223,790","257,734","75,522"
"            With private health insurance","1,501,956","69,158","153,377","132,528","138,108","52,257"
"            With public coverage","1,178,106","151,950","222,169","103,682","137,302","28,820"
"        No health insurance coverage","473,275","47,654","85,718","36,131","93,364","11,165"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","","","","","",""
"    All families","(X)","(X)","(X)","(X)","(X)","(X)"
"        With related children under 18 years","(X)","(X)","(X)","(X)","(X)","(X)"
"            With related children under 5 years only","(X)","(X)","(X)","(X)","(X)","(X)"
"    Married couple families","(X)","(X)","(X)","(X)","(X)","(X)"
"        With related children under 18 years","(X)","(X)","(X)","(X)","(X)","(X)"
"            With related children under 5 years only","(X)","(X)","(X)","(X)","(X)","(X)"
"    Families with female householder, no husband present","(X)","(X)","(X)","(X)","(X)","(X)"
"        With related children under 18 years","(X)","(X)","(X)","(X)","(X)","(X)"
"            With related children under 5 years only","(X)","(X)","(X)","(X)","(X)","(X)"
"    All people","(X)","(X)","(X)","(X)","(X)","(X)"
"    Under 18 years","(X)","(X)","(X)","(X)","(X)","(X)"
"        Related children under 18 years","(X)","(X)","(X)","(X)","(X)","(X)"
"            Related children under 5 years","(X)","(X)","(X)","(X)","(X)","(X)"
"            Related children 5 to 17 years","(X)","(X)","(X)","(X)","(X)","(X)"
"    18 years and over","(X)","(X)","(X)","(X)","(X)","(X)"
"        18 to 64 years","(X)","(X)","(X)","(X)","(X)","(X)"
"        65 years and over","(X)","(X)","(X)","(X)","(X)","(X)"
"    People in families","(X)","(X)","(X)","(X)","(X)","(X)"
"    Unrelated individuals 15 years and over","(X)","(X)","(X)","(X)","(X)","(X)"
