"    $100,000 to $149,999","1,001,931","35,168","103,838","98,759","109,103","30,913"
"    $150,000 to $199,999","424,622","11,085","40,098","51,272","43,915","13,792"
"    $200,000 or more","475,975","6,887","39,332","122,527","27,508","7,968"
"    Median household income (dollars)","56,448","32,460","45,230","67,099","54,713","70,963"
"    Mean household income (dollars)","81,441","47,632","65,085","124,399","70,204","83,898"
"    With earnings","5,595,307","343,658","712,282","589,768","633,540","124,911"
"        Mean earnings (dollars)","85,499","53,570","72,025","133,686","72,859","88,902"
"    With Social Security","2,115,147","115,230","207,207","169,916","201,127","50,859"
"        Mean Social Security income (dollars)","17,247","13,625","14,571","16,010","16,191","17,962"
"    With retirement income","1,286,952","52,520","94,466","75,375","102,392","34,405"
"        Mean retirement income (dollars)","25,280","21,161","21,745","30,683","23,847","30,093"
"    With Supplemental Security Income","460,158","61,811","77,263","50,603","44,045","10,363"
"        Mean Supplemental Security Income (dollars)","9,068","8,618","8,955","8,290","8,290","10,226"
"    With cash public assistance income","245,761","35,089","39,222","20,467","28,634","4,538"
"        Mean cash public assistance income (dollars)","4,085","3,511","4,185","4,280","4,548","3,514"
"    With Food Stamp/SNAP benefits in the past 12 months","1,125,632","178,697","231,106","104,830","112,022","20,698"
"    Families","4,587,857","311,921","580,400","295,941","523,249","118,289"
"    Less than $10,000","239,830","41,071","48,441","22,313","23,966","5,269"
"    $10,000 to $14,999","159,211","24,993","36,367","13,289","17,759","2,943"
"    $15,000 to $24,999","373,423","48,163","67,167","26,945","53,932","5,925"
"    $25,000 to $34,999","374,179","35,608","57,977","20,757","50,800","6,878"
"    $35,000 to $49,999","536,482","43,811","77,751","26,936","68,762","10,879"
"    $50,000 to $74,999","800,299","46,370","99,727","32,830","97,129","19,946"
"    $75,000 to $99,999","606,945","30,207","59,645","21,816","70,497","19,636"
"    $100,000 to $149,999","774,291","26,639","73,747","37,966","83,852","27,051"
"    $150,000 to $199,999","343,346","9,065","29,891","22,858","34,131","12,742"
"    $200,000 or more","379,851","5,994","29,687","70,231","22,421","7,020"
"    Median family income (dollars)","68,395","36,520","50,438","80,795","61,077","82,461"
"    Mean family income (dollars)","94,367","52,500","71,565","163,847","76,835","94,987"
"    Per capita income (dollars)","31,290","17,603","24,190","60,290","25,352","29,939"
"    Nonfamily households","2,651,065","164,057","338,933","450,745","257,100","45,179"
"    Median nonfamily income (dollars)","35,873","21,337","33,489","61,890","37,798","36,361"
"    Mean nonfamily income (dollars)","55,680","34,626","50,622","97,080","51,769","51,556"
"    Median earnings for workers (dollars)","33,190","25,137","31,736","51,644","31,673","41,519"
"    Median earnings for male full-time, year-round workers (dollars)","51,274","36,094","42,345","78,790","44,766","60,035"
"    Median earnings for female full-time, year-round workers (dollars)","43,000","35,431","41,433","63,935","41,155","49,097"
"HEALTH INSURANCE COVERAGE","","","","","",""
"    Civilian noninstitutionalized population","19,316,728","1,384,538","2,557,164","1,606,757","2,257,622","467,015"
"    With health insurance coverage","17,213,819","1,178,874","2,213,077","1,448,590","1,863,734","429,321"
"        With private health insurance","12,629,740","596,601","1,279,677","1,065,450","1,198,405","329,771"
"        With public coverage","6,714,338","706,382","1,102,113","519,659","831,539","140,754"
"    No health insurance coverage","2,102,909","205,664","344,087","158,167","393,888","37,694"
"    Civilian noninstitutionalized population under 18 years","4,252,821","367,564","602,633","240,548","465,989","106,414"
"    No health insurance coverage","167,667","15,754","19,399","10,471","21,976","3,668"
"    Civilian noninstitutionalized population 18 to 64 years","12,402,577","872,334","1,656,994","1,146,133","1,502,395","298,136"
"    In labor force:","9,440,728","616,480","1,227,896","894,031","1,144,337","212,797"
"        Employed:","8,583,669","522,092","1,091,842","816,228","1,035,893","198,226"
"            With health insurance coverage","7,375,976","406,953","894,629","726,750","796,784","178,283"
"                With private health insurance","6,627,933","309,558","729,121","661,783","671,349","165,155"
"                With public coverage","913,823","115,554","184,490","77,634","140,732","15,334"
"            No health insurance coverage","1,207,693","115,139","197,213","89,478","239,109","19,943"
"        Unemployed:","857,059","94,388","136,054","77,803","108,444","14,571"
"            With health insurance coverage","594,922","67,044","93,781","56,742","69,833","10,859"
"                With private health insurance","322,014","22,981","37,336","27,406","35,739","7,307"
"                With public coverage","303,839","50,722","60,874","32,458","36,782","4,172"
"            No health insurance coverage","262,137","27,344","42,273","21,061","38,611","3,712"
"    Not in labor force:","2,961,849","255,854","429,098","252,102","358,058","85,339"
"        With health insurance coverage","2,522,150","211,172","348,890","217,784","270,160","75,064"
"            With private health insurance","1,483,796","69,906","147,037","123,702","134,769","49,126"
"            With public coverage","1,242,434","158,519","223,427","104,767","151,522","30,644"
"        No health insurance coverage","439,699","44,682","80,208","34,318","87,898","10,275"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","","","","","",""
"    All families","(X)","(X)","(X)","(X)","(X)","(X)"
"        With related children under 18 years","(X)","(X)","(X)","(X)","(X)","(X)"
"            With related children under 5 years only","(X)","(X)","(X)","(X)","(X)","(X)"
"    Married couple families","(X)","(X)","(X)","(X)","(X)","(X)"
"        With related children under 18 years","(X)","(X)","(X)","(X)","(X)","(X)"
"            With related children under 5 years only","(X)","(X)","(X)","(X)","(X)","(X)"
"    Families with female householder, no husband present","(X)","(X)","(X)","(X)","(X)","(X)"
"        With related children under 18 years","(X)","(X)","(X)","(X)","(X)","(X)"
"            With related children under 5 years only","(X)","(X)","(X)","(X)","(X)","(X)"
"    All people","(X)","(X)","(X)","(X)","(X)","(X)"
"    Under 18 years","(X)","(X)","(X)","(X)","(X)","(X)"
"        Related children under 18 years","(X)","(X)","(X)","(X)","(X)","(X)"
"            Related children under 5 years","(X)","(X)","(X)","(X)","(X)","(X)"
"            Related children 5 to 17 years","(X)","(X)","(X)","(X)","(X)","(X)"
"    18 years and over","(X)","(X)","(X)","(X)","(X)","(X)"
"        18 to 64 years","(X)","(X)","(X)","(X)","(X)","(X)"
"        65 years and over","(X)","(X)","(X)","(X)","(X)","(X)"
"    People in families","(X)","(X)","(X)","(X)","(X)","(X)"
"    Unrelated individuals 15 years and over","(X)","(X)","(X)","(X)","(X)","(X)"
